tag,runs,test_run,model,latent,branch,r_field,r_sensor,n_delays,ridge,n_params,nmse_train,nmse_test,nmse_latent,cos_test,energy_test,floor_test,fit_seconds,seed,n_train,n_test
ahead,4p5d_10ms_yaw_0_0_0,,podlse,pod,closed-form,64,312,1,0.01,19968,0.6304512230361813,0.7043209873481937,0.5094503550066924,0.5472323329472876,0.5728578475777518,0.39573592438666433,3.076439380645752,0,4365,1496
ahead,4p5d_10ms_yaw_0_0_0,,epod,pod,closed-form,-1,312,1,0.01,9822384,0.6142002072789119,0.7136036706505913,nan,0.5399173108304296,0.5838914237751114,0.39573592438666433,1.5097053050994873,0,4365,1496
ahead,4p5d_10ms_yaw_0_0_0,,podlse,pod,closed-form,64,360,5,0.01,23040,0.6211509125577087,0.6978514954905555,0.4987697183875515,0.553098106298991,0.5782016243071076,0.39573592438666433,3.10811448097229,0,4365,1496
ahead,4p5d_10ms_yaw_0_0_0,,epod,pod,closed-form,-1,360,5,0.01,11333520,0.6025330624272128,0.7085213086089817,nan,0.5447892972411846,0.5907399717801939,0.39573592438666433,1.4376411437988281,0,4365,1496
ahead,4p5d_10ms_yaw_0_0_0,,podlse,pod,closed-form,64,420,10,0.1,26880,0.6326890798533874,0.7040400268559883,0.5089865107067669,0.5473457915256513,0.5515040153496054,0.39573592438666433,3.5679285526275635,0,4365,1496
ahead,4p5d_10ms_yaw_0_0_0,,epod,pod,closed-form,-1,420,10,0.1,13222440,0.6185447904469608,0.7095728801307918,nan,0.542540934096969,0.5592266196947617,0.39573592438666433,1.6003901958465576,0,4365,1496
ahead,4p5d_10ms_yaw_0_0_0,,podlse,pod,closed-form,64,600,25,0.1,38400,0.6236952209242406,0.7024469009726532,0.5063563816297265,0.548888332974022,0.5583923833771369,0.39573592438666433,4.288910865783691,0,4365,1496
ahead,4p5d_10ms_yaw_0_0_0,,epod,pod,closed-form,-1,600,25,0.1,18889200,0.6043284737552604,0.7109484449035962,nan,0.5417229872116531,0.5687465824953851,0.39573592438666433,2.332645893096924,0,4365,1496
ahead,4p5d_10ms_yaw_0_0_0,,podlse,pod,closed-form,64,900,50,1.0,57600,0.6517996312844397,0.7188203451315375,0.5333876865780992,0.5344268071259717,0.5056315748466619,0.39573592438666433,3.8207285404205322,0,4365,1496
ahead,4p5d_10ms_yaw_0_0_0,,epod,pod,closed-form,-1,900,50,1.0,28333800,0.639009449990599,0.7217539287206521,nan,0.5313375494536715,0.5102027949731686,0.39573592438666433,3.184056520462036,0,4365,1496
ahead,4p5d_10ms_yaw_0_0_0,,podlse,pod,closed-form,64,1500,100,1.0,96000,0.6428797753546328,0.7229265272652556,0.5401666794615158,0.5303713240403918,0.5086280828327707,0.39573592438666433,5.656718492507935,0,4365,1496
ahead,4p5d_10ms_yaw_0_0_0,,epod,pod,closed-form,-1,1500,100,1.0,47223000,0.6226687115088179,0.7285042162951731,nan,0.5247596494567721,0.51568566618784,0.39573592438666433,4.9616780281066895,0,4365,1496
