stage,model,latent,branch,r_field,r_sensor,r_sensor_used,ridge,n_delays,channels,seed,n_params,nmse_train,nmse_test,nmse_latent,cos_test,energy_test,floor_test,epochs_run,train_loss,val_loss,stopped_early,n_fit,fit_seconds,n_train,n_test,run,tag
A,branched,pod,gru,16,,-1,0.0001,25,all,0,16016,0.6875361928858088,0.7995090521906926,0.5708826979725559,0.45488103217798187,0.5182763531628982,0.5304652416362131,480,0.3000934955248991,0.5272915959358215,1,3492,26.2024245262146,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,ae,linear,16,,-1,0.0001,25,all,0,4816,0.6932013133145073,0.762450036297236,0.6413339330982754,0.49499576029668907,0.5524314402035967,0.5518162123687468,489,0.41861059725762506,0.4615028202533722,1,3492,38.46851587295532,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,ae,mlp,16,,-1,0.0001,25,all,0,57104,0.6994286875818932,0.7848138924956453,0.6729399422215481,0.4766668520671972,0.5652884766867248,0.5518162123687468,405,0.1698635616185056,0.6553521156311035,1,3492,20.138396501541138,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,ae,cnn,16,,-1,0.0001,25,all,0,37872,0.7020906645650861,0.7734252858208827,0.6527374791441968,0.48562696181086873,0.5459110745148348,0.5518162123687468,406,0.25144297935981796,0.6133130192756653,1,3492,22.05677103996277,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,ae,gru,16,,-1,0.0001,25,all,0,16016,0.7151490004377896,0.7827573287245702,0.6546855318399052,0.47971303282686384,0.5577917866272911,0.5518162123687468,404,0.22148757671162844,0.6465785503387451,1,3492,24.15360951423645,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,podlse,pod,closed-form,32,,300,0.0001,25,all,0,9600,0.6725824813699284,0.7557658511927118,0.544772605869886,0.4993040383103995,0.5367988610664788,0.4616230950213562,0,nan,nan,0,4365,8.7049241065979,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,epod,pod,closed-form,32,,300,0.0001,25,all,0,9444600,0.6447705350202287,0.779856768903682,nan,0.4803196015293632,0.5620968364128343,0.46128124032498835,0,nan,nan,0,4365,7.666155099868774,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,pod,linear,32,,-1,0.0001,25,all,0,9632,0.7006684088697137,0.7660891538775989,0.5641689036049655,0.4879649333263854,0.5040663541939835,0.46128124032498835,758,0.46580746377320087,0.5043218731880188,1,3492,23.198570013046265,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,pod,mlp,32,,-1,0.0001,25,all,0,59168,0.681813787518855,0.7849395365747254,0.5990590730064772,0.4674381002071812,0.5000450083965019,0.46128124032498835,430,0.3228362533781264,0.5647349953651428,1,3492,19.935712337493896,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,pod,cnn,32,,-1,0.0001,25,all,0,63488,0.6859396733047848,0.7851522803663098,0.5994528404459382,0.4682328397307851,0.5073037698908618,0.46128124032498835,413,0.2635172055554144,0.5734096765518188,1,3492,21.469258308410645,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,pod,gru,32,,-1,0.0001,25,all,0,17056,0.7131495941626717,0.7915783768809176,0.6113469011442018,0.46002671140203394,0.46602478432299227,0.46128124032498835,451,0.413436694755587,0.5920122265815735,1,3492,25.107608318328857,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,ae,linear,32,,-1,0.0001,25,all,0,9632,0.6933896141789366,0.7671476705143127,0.7241783255377665,0.4925709082962314,0.5694186900982958,0.5044656023458448,489,0.5198999768953007,0.5665424466133118,1,3492,41.92100954055786,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,ae,mlp,32,,-1,0.0001,25,all,0,59168,0.7075364276365866,0.7823328097137898,0.7358263498036458,0.48502270201514314,0.6001411878625266,0.5044656023458448,404,0.2859482207385672,0.7005349397659302,1,3492,20.100362539291382,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,ae,cnn,32,,-1,0.0001,25,all,0,63488,0.7119588242082859,0.7861599105067453,0.7488047321089768,0.47764667893238283,0.5707162206724739,0.5044656023458448,404,0.34416006097542323,0.7260443568229675,1,3492,22.0429527759552,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,ae,gru,32,,-1,0.0001,25,all,0,17056,0.7143920363377614,0.7804317956048036,0.7241881683607283,0.4835290870129517,0.5772064790207209,0.5044656023458448,404,0.3444464810935083,0.7389753460884094,1,3492,24.19995903968811,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,podlse,pod,closed-form,64,,300,0.0001,25,all,0,19200,0.6671400214324059,0.7591388299912847,0.5994038892691241,0.4965671963129756,0.5419128942222968,0.39655234855889326,0,nan,nan,0,4365,9.470747470855713,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,epod,pod,closed-form,64,,300,0.0001,25,all,0,9444600,0.6447705350202287,0.779856768903682,nan,0.4803196015293632,0.5620968364128343,0.39596951628920496,0,nan,nan,0,4365,7.705824136734009,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,pod,linear,64,,-1,0.0001,25,all,0,19264,0.6980015112522756,0.7683311517237394,0.614972533044365,0.48587413655177486,0.5075349885793874,0.39596951628920496,758,0.5167741920257078,0.5572661757469177,1,3492,23.28360939025879,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,pod,mlp,64,,-1,0.0001,25,all,0,63296,0.6944905527184561,0.7855575037123261,0.6434226533291052,0.4657523217443811,0.4751636254012928,0.39596951628920496,425,0.40519700335063474,0.6077932715415955,1,3492,19.861028909683228,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,pod,cnn,64,,-1,0.0001,25,all,0,114720,0.7024852407771142,0.7885143687453435,0.6483060532451652,0.4638704626331283,0.4908273554760193,0.39596951628920496,409,0.339413928651045,0.6262037754058838,1,3492,21.33264970779419,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,pod,gru,64,,-1,0.0001,25,all,0,19136,0.6962633788907303,0.797121887924681,0.6625217708949381,0.4551599554652638,0.4959934658624654,0.39596951628920496,459,0.45589366210421883,0.6429176330566406,1,3492,25.474354028701782,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,ae,linear,64,,-1,0.0001,25,all,0,19264,0.6928237770971765,0.7744699502026764,0.8130726330436592,0.4906590408571735,0.5892349788035509,0.46797302272275026,501,0.6156752285678772,0.6518843173980713,1,3492,54.354217767715454,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,ae,mlp,64,,-1,0.0001,25,all,0,63296,0.6961696361597632,0.8026503098119371,0.8245463524237819,0.47957386653256806,0.6422519732588233,0.46797302272275026,407,0.3887286676437448,0.7909790277481079,1,3492,20.20450186729431,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,ae,cnn,64,,-1,0.0001,25,all,0,114720,0.7110644882543462,0.7869020292410144,0.8222971591435325,0.4790877050383295,0.5795991584642997,0.46797302272275026,404,0.45045774983922776,0.7898136377334595,1,3492,21.985422611236572,4365,1521,4p5d_10ms_yaw_0_0_0,clean
