stage,model,latent,branch,r_field,r_sensor,r_sensor_used,ridge,n_delays,channels,seed,n_params,nmse_train,nmse_test,nmse_latent,cos_test,energy_test,floor_test,sensor_noise,nmse_fullband,epochs_run,train_loss,val_loss,stopped_early,n_fit,fit_seconds,n_train,n_test,run,tag
N,branched,pod,linear,16,,-1,0.0001,25,all,0,4816,0.7046587660290544,0.7647704787088779,0.49717109497323536,0.48909766710436026,0.4994777676190437,0.5304652416362131,0.05,nan,599,0.4061743426568729,0.433326780796051,1,3492,20.573320150375366,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,pod,mlp,16,,-1,0.0001,25,all,0,57104,0.6969626260763097,0.7858762504955262,0.5419553251531561,0.46542535427284276,0.4720575299750417,0.5304652416362131,0.05,nan,225,0.2623202853322985,0.506244957447052,1,3492,13.852522850036621,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,pod,cnn,16,,-1,0.0001,25,all,0,37872,0.7006250367407945,0.7859629928548817,0.5421393833258206,0.4663169689473434,0.4921074321012061,0.5304652416362131,0.05,nan,211,0.2191498136875419,0.50930255651474,1,3492,14.574728965759277,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,pod,gru,16,,-1,0.0001,25,all,0,16016,0.6931965391901153,0.7989776887763662,0.5697552006369011,0.45413383498982574,0.5082933722835555,0.5304652416362131,0.05,nan,265,0.3111436058087584,0.5237170457839966,1,3492,17.86268448829651,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,ae,linear,16,,-1,0.0001,25,all,0,4816,0.69314879316156,0.7617450525498355,0.6396113294365793,0.4951442285215465,0.547890529425935,0.5518162123687468,0.05,nan,291,0.42141147652579064,0.4614279270172119,1,3492,14.349366664886475,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,ae,mlp,16,,-1,0.0001,25,all,0,57104,0.7102676681372792,0.7855955425742898,0.6718569236069595,0.4762591548059231,0.5590728121304049,0.5518162123687468,0.05,nan,204,0.1776103609308754,0.6302543878555298,1,3492,14.28359317779541,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,ae,cnn,16,,-1,0.0001,25,all,0,37872,0.6948320216177641,0.7876124446952298,0.6730274588305714,0.4819349417198527,0.6055694819109322,0.5518162123687468,0.05,nan,209,0.2524485446060373,0.6045433282852173,1,3492,15.53265643119812,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,ae,gru,16,,-1,0.0001,25,all,0,16016,0.7143953201374817,0.7849073161820648,0.6558244107107633,0.47926270568682067,0.5715836754816463,0.5518162123687468,0.05,nan,204,0.22684748803627042,0.6358610391616821,1,3492,16.519166946411133,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,podlse,pod,closed-form,16,,300,0.0001,25,all,0,4800,0.679737996830958,0.7526320707824911,0.4714860435390074,0.5018100398547337,0.5298908576004556,0.530397236226799,0.1,nan,0,nan,nan,0,4365,8.260051012039185,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,pod,linear,16,,-1,0.0001,25,all,0,4816,0.7050024588581961,0.7649044396137209,0.49745534593824325,0.48893281466319916,0.4980644356426717,0.5304652416362131,0.1,nan,571,0.40893035840332714,0.43328359723091125,1,3492,19.919732093811035,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,pod,mlp,16,,-1,0.0001,25,all,0,57104,0.685986254230782,0.7877548966878546,0.5459416149867782,0.4643358693878412,0.4957053597990892,0.5304652416362131,0.1,nan,230,0.254816698198466,0.508501410484314,1,3492,14.254460573196411,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,pod,cnn,16,,-1,0.0001,25,all,0,37872,0.7008250717386827,0.7852866246195697,0.5407042009954705,0.4669995160148916,0.4922361980149185,0.5304652416362131,0.1,nan,211,0.22552422824116233,0.5078468918800354,1,3492,14.65971851348877,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,pod,gru,16,,-1,0.0001,25,all,0,16016,0.7091648993127226,0.7885053613379449,0.5475340221240902,0.46308994449967117,0.47909570507758115,0.5304652416362131,0.1,nan,260,0.3479957260012217,0.5340145230293274,1,3492,17.833248615264893,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,ae,linear,16,,-1,0.0001,25,all,0,4816,0.6943424429388917,0.7615887168682274,0.6397140145911738,0.494933057700232,0.5433011762100551,0.5518162123687468,0.1,nan,291,0.42860206961631775,0.4616018533706665,1,3492,14.413978338241577,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,ae,mlp,16,,-1,0.0001,25,all,0,57104,0.6902998586152083,0.783911246501638,0.6724783519285155,0.4760722055707788,0.5531575572341809,0.5518162123687468,0.1,nan,207,0.17465441333469248,0.6400956511497498,1,3492,14.447022199630737,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,ae,cnn,16,,-1,0.0001,25,all,0,37872,0.6953467863687547,0.786832265228958,0.6715759827047283,0.48169616526216735,0.6011436066034941,0.5518162123687468,0.1,nan,209,0.2616188239054445,0.6189912557601929,1,3492,15.544581651687622,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,ae,gru,16,,-1,0.0001,25,all,0,16016,0.7144077990648526,0.784985772486858,0.6559323859293148,0.4792047661144361,0.5713682269235116,0.5518162123687468,0.1,nan,204,0.23352442395031656,0.6259723901748657,1,3492,16.50721311569214,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,podlse,pod,closed-form,16,,300,0.0001,25,all,0,4800,0.679737996830958,0.7526320707824911,0.4714860435390074,0.5018100398547337,0.5298908576004556,0.530397236226799,0.25,nan,0,nan,nan,0,4365,8.279743194580078,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,pod,linear,16,,-1,0.0001,25,all,0,4816,0.7087819696582807,0.7672442011045879,0.5024200739866814,0.48645411226369545,0.4873202322752194,0.5304652416362131,0.25,nan,544,0.4259110615766881,0.43769019842147827,1,3492,19.337896585464478,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,pod,mlp,16,,-1,0.0001,25,all,0,57104,0.6949332788284125,0.7889775014144894,0.548535853759478,0.462519728798146,0.48413979964537085,0.5304652416362131,0.25,nan,229,0.29558891116002445,0.49934619665145874,1,3492,14.200983047485352,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,pod,cnn,16,,-1,0.0001,25,all,0,37872,0.6858104493850307,0.7799314608134532,0.5293411060578092,0.4735121036652636,0.5089759661276956,0.5304652416362131,0.25,nan,216,0.23819467099330133,0.5211846828460693,1,3492,14.679192781448364,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,pod,gru,16,,-1,0.0001,25,all,0,16016,0.7024761770345808,0.7974074153328178,0.5664232453759346,0.4531552787274728,0.4724646394000868,0.5304652416362131,0.25,nan,258,0.3464826208551042,0.5418989062309265,1,3492,17.51138186454773,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,ae,linear,16,,-1,0.0001,25,all,0,4816,0.7013569575967896,0.7640419929095322,0.6454752385775545,0.4916800497286023,0.5269858790966209,0.5518162123687468,0.25,nan,327,0.4516572743688389,0.46712109446525574,1,3492,15.142977952957153,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,ae,mlp,16,,-1,0.0001,25,all,0,57104,0.6939002353182885,0.7860235284780389,0.6740539832600532,0.473968500086732,0.5522439687422127,0.5518162123687468,0.25,nan,207,0.21377854745617436,0.6141749024391174,1,3492,14.256556749343872,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,ae,cnn,16,,-1,0.0001,25,all,0,37872,0.6999883179138764,0.787970099159356,0.6728210774592316,0.4791645103748793,0.5920533217998905,0.5518162123687468,0.25,nan,209,0.2969873573840142,0.5837460160255432,1,3492,15.282782554626465,4365,1521,4p5d_10ms_yaw_0_0_0,noise
