dataset,model,latent,variant,n_params,s_per_epoch,epochs_measured,compile_s,total_fit_s,peak_mem_mb,n_train,n_x,gpu
bl,CAEJax,64,narrow,342339.0,0.2662629492037619,15,2.782969661654594,3.9939442380564287,18.087936,1798,13875,Tesla T4
bl,CAE,64,wide,1507395.0,0.42579025820208094,15,0.6235001125916217,6.386853873031214,1296.412672,1798,13875,Tesla T4
bl,CAEJax,64,deep,591107.0,0.34644591126125307,15,2.8209719595266507,5.196688668918796,18.087936,1798,13875,Tesla T4
circle,AEJax,64,default,33262450.0,0.09189765560440719,15,2.930003236792982,1.3784648340661079,18.087936,284,32306,Tesla T4
bl,POD,128,default,1776000.0,nan,0,nan,3.103281329968013,18.087936,1798,13875,Tesla T4
bl,AE,128,default,29022387.0,0.7926914010662586,15,0.6967542409431189,11.890371015993878,851.492864,1798,13875,Tesla T4
bl,AEJax,128,double,59079347.0,0.8112359693351512,15,3.86568288836473,12.168539540027268,18.087936,1798,13875,Tesla T4
bl,AE,128,fixed_lg,29022387.0,0.7958760746677096,15,0.6393507406503582,11.938141120015644,851.492864,1798,13875,Tesla T4
bl,CAEJax,128,narrow,670083.0,0.2704800399330755,15,2.684304563103554,4.057200598996133,18.087936,1798,13875,Tesla T4
bl,CAE,128,wide,2818179.0,0.44554189493258795,15,0.6227581162316104,6.683128423988819,1320.814592,1798,13875,Tesla T4
bl,CAEJax,128,deep,984387.0,0.35251986572984606,15,3.331632586545311,5.287797985947691,18.087936,1798,13875,Tesla T4
circle,AEJax,128,default,66787506.0,0.15162485086669525,15,3.0517158552616213,2.2743727630004287,18.087936,284,32306,Tesla T4
bl,POD,256,default,3552000.0,nan,0,nan,3.5957948970608413,18.087936,1798,13875,Tesla T4
bl,AE,256,default,59210547.0,1.4886297062660256,15,0.8585598485001054,22.329445593990386,1576.937472,1798,13875,Tesla T4
bl,AEJax,256,double,122601267.0,1.618979894796697,15,4.1407567633859195,24.284698421950452,18.087936,1798,13875,Tesla T4
bl,AE,256,fixed_lg,29088051.0,0.7931372519970561,15,0.6613640889680634,11.897058779955842,853.0688,1798,13875,Tesla T4
bl,CAEJax,256,narrow,1325571.0,0.28577898180422684,15,2.6768993113733206,4.2866847270634025,18.087936,1798,13875,Tesla T4
bl,CAE,256,wide,5439747.0,0.4864227813358108,15,0.6467247743314753,7.296341720037162,1373.553152,1798,13875,Tesla T4
bl,CAEJax,256,deep,1770947.0,0.36391548146493735,15,2.9277271060738714,5.45873222197406,18.087936,1798,13875,Tesla T4
circle,AEJax,256,default,134722354.0,0.2730001388040061,15,3.462898089449542,4.095002082060091,18.087936,284,32306,Tesla T4
bl,AE,2,half,235937.0,0.2869539638670782,15,2.685140858280162,4.304309458006173,257.2544,1798,13875,Tesla T4
bl,AEJax,2,default,458061.0,0.1485235069335128,15,7.641173750177646,2.227852604002692,18.087936,1798,13875,Tesla T4
bl,AE,2,fixed_sm,3582901.0,0.3184302689973265,15,0.4141146089415997,4.776454034959897,324.1728,1798,13875,Tesla T4
bl,AEJax,2,fixed_lg,28957749.0,0.4298546383933475,15,4.850767200261664,6.447819575900212,18.087936,1798,13875,Tesla T4
bl,CAE,2,default,72709.0,0.4285023774020374,15,0.7621327531756833,6.427535661030561,258.066944,1798,13875,Tesla T4
bl,CAEJax,2,wide,237573.0,0.4162893508017684,15,8.471978984486002,6.244340262026526,18.087936,1798,13875,Tesla T4
circle,POD,2,default,64612.0,nan,0,nan,0.5037828799104318,18.087936,284,32306,Tesla T4
circle,CAE,2,default,128740.0,0.07951301787203799,15,0.4642091342868904,1.1926952680805698,140.285952,284,32306,Tesla T4
bl,AE,4,half,458079.0,0.2937015676715722,15,0.37550075169031816,4.4055235150735825,261.69344,1798,13875,Tesla T4
bl,AEJax,4,default,902535.0,0.14674241113631675,15,4.251761859624336,2.2011361670447513,18.087936,1798,13875,Tesla T4
bl,AE,4,fixed_sm,3583159.0,0.3309813265999158,15,0.3594707317727929,4.964719898998737,324.17792,1798,13875,Tesla T4
bl,AEJax,4,fixed_lg,28958775.0,0.4280207154729093,15,2.0043441450844206,6.42031073209364,18.087936,1798,13875,Tesla T4
bl,CAE,4,default,93191.0,0.3964317465356241,15,0.3981479648655901,5.946476198034361,258.481152,1798,13875,Tesla T4
bl,CAEJax,4,wide,278535.0,0.420989613661853,15,2.7816724196852496,6.314844204927795,18.087936,1798,13875,Tesla T4
circle,POD,4,default,129224.0,nan,0,nan,0.5264378041028976,18.087936,284,32306,Tesla T4
circle,CAE,4,default,194278.0,0.08664262240442137,15,0.39311557511488593,1.2996393360663205,141.597696,284,32306,Tesla T4
bl,AE,8,half,902603.0,0.2947282499323289,15,0.3582986471398423,4.420923748984933,270.614528,1798,13875,Tesla T4
bl,AEJax,8,default,1792347.0,0.15115107853586476,15,3.88568455594747,2.2672661780379713,18.087936,1798,13875,Tesla T4
bl,AE,8,fixed_sm,3583675.0,0.3333011359985297,15,0.33635072906812036,4.999517039977945,324.18816,1798,13875,Tesla T4
bl,AEJax,8,fixed_lg,28960827.0,0.4300591309942926,15,1.9806890700866158,6.450886964914389,18.087936,1798,13875,Tesla T4
bl,CAE,8,default,134155.0,0.4070010339996467,15,0.6599752300108472,6.1050155099947006,259.31008,1798,13875,Tesla T4
bl,CAEJax,8,wide,360459.0,0.4239110383282726,15,2.9813534234262384,6.358665574924089,18.087936,1798,13875,Tesla T4
circle,POD,8,default,258448.0,nan,0,nan,0.6442810950102285,18.087936,284,32306,Tesla T4
circle,CAE,8,default,325354.0,0.09128077159790943,15,0.3820287597986559,1.3692115739686415,144.220672,284,32306,Tesla T4
bl,AE,16,half,1792611.0,0.28933218313225856,15,0.3900937857183938,4.339982746983878,288.411648,1798,13875,Tesla T4
bl,AEJax,16,default,3575427.0,0.15376511246431618,15,3.8655682081356644,2.306476686964743,18.087936,1798,13875,Tesla T4
bl,AE,16,fixed_sm,3584707.0,0.32158310580222554,15,0.404555347460943,4.8237465870333835,324.20864,1798,13875,Tesla T4
bl,AEJax,16,fixed_lg,28964931.0,0.43146938087108233,15,1.974357417287926,6.472040713066235,18.087936,1798,13875,Tesla T4
bl,CAE,16,default,216083.0,0.4257709332664187,15,0.6153182434073339,6.38656399899628,260.967424,1798,13875,Tesla T4
bl,CAEJax,16,wide,524307.0,0.4318231360676388,15,2.6056296438599627,6.477347041014582,18.087936,1798,13875,Tesla T4
circle,POD,16,default,516896.0,nan,0,nan,1.1537173829274252,18.087936,284,32306,Tesla T4
circle,CAE,16,default,587506.0,0.08897349873247246,15,0.39786335149935137,1.334602480987087,149.466624,284,32306,Tesla T4
bl,AE,32,half,3576467.0,0.3278593670654421,15,0.4062198589167868,4.917890505981632,324.0448,1798,13875,Tesla T4
bl,AEJax,32,default,7155411.0,0.16660903953791906,15,4.048014669896414,2.499135593068786,18.087936,1798,13875,Tesla T4
bl,AE,32,fixed_sm,3586771.0,0.33165776819611587,15,0.3634493766042094,4.974866522941738,324.2496,1798,13875,Tesla T4
bl,AEJax,32,fixed_lg,28973139.0,0.4311076527383799,15,2.0193089574730645,6.466614791075699,18.087936,1798,13875,Tesla T4
bl,CAE,32,default,379939.0,0.40440059166867287,15,0.38354218357708303,6.066008875030093,264.282624,1798,13875,Tesla T4
bl,CAEJax,32,wide,852003.0,0.44064872767000146,15,2.6550509316769118,6.609730915050022,18.087936,1798,13875,Tesla T4
circle,POD,32,default,1033792.0,nan,0,nan,1.3732268520398065,18.087936,284,32306,Tesla T4
circle,CAE,32,default,1111810.0,0.08555917607154698,15,0.40398424183949827,1.2833876410732046,161.4592,284,32306,Tesla T4
bl,AE,64,half,7159539.0,0.30238525053331006,15,0.44575386991103494,4.535778757999651,400.42496,1798,13875,Tesla T4
bl,AEJax,64,default,14370675.0,0.2489544965326786,15,4.598525858926587,3.734317447990179,18.087936,1798,13875,Tesla T4
bl,AE,64,fixed_sm,3590899.0,0.323359455463166,15,0.4283918990675981,4.850391831947491,324.33152,1798,13875,Tesla T4
bl,AEJax,64,fixed_lg,28989555.0,0.43179957213966796,15,1.1874618057549622,6.4769935820950195,18.087936,1798,13875,Tesla T4
bl,CAE,64,default,707651.0,0.4233065255995219,15,0.6248895797723283,6.349597883992828,272.715264,1798,13875,Tesla T4
bl,CAEJax,64,wide,1507395.0,0.44309658439985167,15,2.6571141831964873,6.646448765997775,18.087936,1798,13875,Tesla T4
circle,POD,64,default,2067584.0,nan,0,nan,1.6109203040832654,18.087936,284,32306,Tesla T4
circle,CAE,64,default,2160418.0,0.09435420020017773,15,0.468696659617126,1.415313003002666,182.908928,284,32306,Tesla T4
bl,AE,128,half,14387123.0,0.48610800340150795,15,0.5754013592687746,7.291620051022619,549.69344,1798,13875,Tesla T4
bl,AEJax,128,default,29022387.0,0.429470864799805,15,2.0373011944349857,6.442062971997075,18.087936,1798,13875,Tesla T4
bl,AE,128,fixed_sm,3599155.0,0.3306783224611233,15,0.37982602616927275,4.960174836916849,324.49536,1798,13875,Tesla T4
bl,AEJax,128,fixed_lg,29022387.0,0.4319050694660594,15,0.5377288910870751,6.478576041990891,18.087936,1798,13875,Tesla T4
bl,CAE,128,default,1363075.0,0.40037638406890136,15,0.4082637689231584,6.00564576103352,285.84448,1798,13875,Tesla T4
bl,CAEJax,128,wide,2818179.0,0.4700970836604635,15,2.7439761937052634,7.051456254906952,18.087936,1798,13875,Tesla T4
circle,POD,128,default,4135168.0,nan,0,nan,2.021632599993609,18.087936,284,32306,Tesla T4
circle,CAE,128,default,4257634.0,0.09944632473246505,15,0.48938467449819045,1.4916948709869757,224.877568,284,32306,Tesla T4
bl,AE,256,half,29088051.0,0.7930182887939736,15,0.6559233934385702,11.895274331909604,853.0688,1798,13875,Tesla T4
bl,AEJax,256,default,59210547.0,0.8126956158628066,15,5.012217387215545,12.1904342379421,18.087936,1798,13875,Tesla T4
bl,AE,256,fixed_sm,3615667.0,0.320486140732343,15,0.38488464953067403,4.807292110985145,324.8256,1798,13875,Tesla T4
bl,AEJax,256,fixed_lg,29088051.0,0.4325185302644968,15,1.69992651946377,6.487777953967452,18.087936,1798,13875,Tesla T4
bl,CAE,256,default,2673923.0,0.39419744999613615,15,0.4593708829954266,5.912961749942042,310.887936,1798,13875,Tesla T4
bl,CAEJax,256,wide,5439747.0,0.5076196963976448,15,2.7441897901784005,7.614295445964672,18.087936,1798,13875,Tesla T4
circle,POD,256,default,8270336.0,nan,0,nan,2.6024811080424115,18.087936,284,32306,Tesla T4
circle,CAE,256,default,8452066.0,0.11543711786313603,15,0.5232241592758025,1.7315567679470405,307.375616,284,32306,Tesla T4
bl,AEJax,2,half,235937.0,0.14977592833650608,15,7.57412113135991,2.2466389250475913,0.0,1798,13875,Tesla T4
bl,AE,2,double,902501.0,0.3144233162670086,15,1.6600755844420443,4.716349744005129,270.614528,1798,13875,Tesla T4
bl,AEJax,2,fixed_sm,3582901.0,0.1503419932676479,15,4.5687121884897355,2.255129899014719,18.087936,1798,13875,Tesla T4
bl,CAE,2,narrow,24837.0,0.39590982200267416,15,0.5756515668860326,5.938647330040112,253.041152,1798,13875,Tesla T4
bl,CAEJax,2,default,72709.0,0.30913239166450995,15,7.797360547663023,4.63698587496765,18.087936,1798,13875,Tesla T4
bl,CAE,2,deep,210117.0,0.4921856882593905,15,0.36409188346782073,7.382785323890857,256.240128,1798,13875,Tesla T4
circle,AE,2,default,1066284.0,0.0536852707931151,15,0.25048041840394336,0.8052790618967265,137.577472,284,32306,Tesla T4
circle,CAEJax,2,default,128740.0,0.3519054741986717,15,6.458284541630807,5.278582112980075,18.087936,284,32306,Tesla T4
bl,AEJax,4,half,458079.0,0.1512481186616545,15,3.7575762356941897,2.2687217799248174,18.087936,1798,13875,Tesla T4
bl,AE,4,double,1792215.0,0.31168745366546013,15,0.26132332169606043,4.675311804981902,288.406528,1798,13875,Tesla T4
bl,AEJax,4,fixed_sm,3583159.0,0.14905994886066765,15,1.9989211282227188,2.2358992329100147,18.087936,1798,13875,Tesla T4
bl,CAE,4,narrow,35079.0,0.4619531268021092,15,0.5880970113677904,6.929296902031638,253.245952,1798,13875,Tesla T4
bl,CAEJax,4,default,93191.0,0.30966768679985157,15,2.4885495794316133,4.645015301997773,18.087936,1798,13875,Tesla T4
bl,CAE,4,deep,222407.0,0.537912142998539,15,0.5858121040277182,8.068682144978084,256.485888,1798,13875,Tesla T4
circle,AE,4,default,2100550.0,0.05601908180397004,15,0.24443995135370641,0.8402862270595506,157.784576,284,32306,Tesla T4
circle,CAEJax,4,default,194278.0,0.3503576250669236,15,2.408648289825457,5.255364376003854,18.087936,284,32306,Tesla T4
bl,AEJax,8,half,902603.0,0.1510478599385048,15,3.765606962113331,2.265717899077572,18.087936,1798,13875,Tesla T4
bl,AE,8,double,3574907.0,0.32196641239958507,15,0.2883814191833759,4.829496185993776,324.033536,1798,13875,Tesla T4
bl,AEJax,8,fixed_sm,3583675.0,0.1488797376009946,15,2.0251840557747833,2.233196064014919,18.087936,1798,13875,Tesla T4
bl,CAE,8,narrow,55563.0,0.441950056135344,15,0.3436056917688499,6.62925084203016,253.655552,1798,13875,Tesla T4
bl,CAEJax,8,default,134155.0,0.31042665720451623,15,2.8099476285278797,4.6563998580677435,18.087936,1798,13875,Tesla T4
bl,CAE,8,deep,246987.0,0.5249102829955519,15,0.5047334210015832,7.873654244933277,256.977408,1798,13875,Tesla T4
circle,AE,8,default,4169946.0,0.06349668699937562,15,0.2538124280671279,0.9524503049906343,199.460864,284,32306,Tesla T4
circle,CAEJax,8,default,325354.0,0.35052564153447746,15,2.2747093660058453,5.257884623017162,18.087936,284,32306,Tesla T4
bl,AEJax,16,half,1792611.0,0.1427298543974757,15,3.533612522156909,2.140947815962136,18.087936,1798,13875,Tesla T4
bl,AE,16,double,7153347.0,0.3288915054717412,15,0.3790992851446693,4.933372582076117,400.30208,1798,13875,Tesla T4
bl,AEJax,16,fixed_sm,3584707.0,0.14944648153614254,15,1.0803795069456101,2.241697223042138,18.087936,1798,13875,Tesla T4
bl,CAE,16,narrow,96531.0,0.40910608020300665,15,0.5325420155112321,6.1365912030451,254.474752,1798,13875,Tesla T4
bl,CAEJax,16,default,216083.0,0.3113674066029489,15,2.6167713987408208,4.670511099044234,18.087936,1798,13875,Tesla T4
bl,CAE,16,deep,296147.0,0.4242658028689524,15,0.5989592542716612,6.363987043034285,257.960448,1798,13875,Tesla T4
circle,AE,16,default,8312194.0,0.07316226592908302,15,0.28010361317234733,1.0974339889362454,283.559936,284,32306,Tesla T4
circle,CAEJax,16,default,587506.0,0.35154731092819325,15,2.365104701051799,5.2732096639228985,18.087936,284,32306,Tesla T4
bl,AEJax,32,half,3576467.0,0.15273298819859824,15,2.4266555916595585,2.2909948229789734,18.087936,1798,13875,Tesla T4
bl,AE,32,double,14362451.0,0.49285222286513697,15,0.4875274052765841,7.392783342977054,549.20192,1798,13875,Tesla T4
bl,AEJax,32,fixed_sm,3586771.0,0.15066076593939215,15,1.9635538860457018,2.2599114890908822,18.087936,1798,13875,Tesla T4
