dataset,model,backend,n_latent,seed,train_mse,train_rel_error,test_mse,test_rel_error,gen_gap,fit_time_s,n_params,n_epochs_run,n_x,gap,n_train,n_val,n_test
bl,POD,numpy,32,0,0.0021678742486983538,0.6746748177820938,0.002461913973093033,0.764359517536837,1.1329302612028265,0.05903291702270508,444000.0,nan,13875,1,598,200,200
bl,AE,torch,32,0,0.0011342597426846623,0.35299855869076285,0.002334047108888626,0.7246602202825801,2.052870195760215,28.693070888519287,14362451.0,104.0,13875,1,598,200,200
bl,AEJax,jax,32,0,0.001210955553688109,0.37686743962076563,0.0023385859094560146,0.7260693984463186,1.9265909497964273,25.844717979431152,14362451.0,103.0,13875,1,598,200,200
bl,CAE,torch,32,0,0.002171026077121496,0.6756557138226925,0.0024508186616003513,0.7609147152276758,1.1261870500918418,6.2808709144592285,379939.0,76.0,13875,1,598,200,200
bl,CAEJax,jax,32,0,0.002163889119401574,0.6734345860741167,0.002456243382766843,0.7625989484295297,1.13240241027003,35.373960971832275,379939.0,79.0,13875,1,598,200,200
bl,POD,numpy,64,0,0.001706011826172471,0.530936339433941,0.0021980805322527885,0.6824461754157181,1.2853634696455503,0.07439303398132324,888000.0,nan,13875,1,598,200,200
bl,AE,torch,64,0,0.0010233926586806774,0.3184950676587844,0.0022938826587051153,0.7121902151971342,2.2361106576385983,29.487589836120605,14370675.0,107.0,13875,1,598,200,200
bl,AEJax,jax,64,0,0.0011389831779524684,0.35446856223479956,0.002289819996803999,0.7109288655624225,2.0056189499014137,26.05716586112976,14370675.0,103.0,13875,1,598,200,200
bl,CAE,torch,64,0,0.0021059815771877766,0.6554128947722524,0.0023238982539623976,0.721509267836741,1.1008469219810761,5.744131088256836,707651.0,66.0,13875,1,598,200,200
bl,CAEJax,jax,64,0,0.0020758456084877253,0.6460341315881785,0.002307130955159664,0.716303462693537,1.108770307433466,32.13144016265869,707651.0,70.0,13875,1,598,200,200
bl,POD,numpy,128,0,0.0011237123981118202,0.3497160676597264,0.0018698845524340868,0.5805499582718736,1.6600608663961889,0.10651993751525879,1776000.0,nan,13875,1,598,200,200
bl,AE,torch,128,0,0.0011240241583436728,0.3498130920963343,0.0022862465120851994,0.7098193925729357,2.029139013406222,30.765233278274536,14387123.0,98.0,13875,1,598,200,200
bl,AEJax,jax,128,0,0.00112125463783741,0.34895117598472014,0.0022991688456386328,0.7138314371643814,2.0456484640007018,26.992401123046875,14387123.0,102.0,13875,1,598,200,200
bl,CAE,torch,128,0,0.0016977867344394326,0.5283765681420588,0.0021325992420315742,0.6621159575656219,1.2531137781030557,6.846281051635742,1363075.0,68.0,13875,1,598,200,200
bl,CAEJax,jax,128,0,0.001743689295835793,0.5426621302609943,0.0021181402262300253,0.6576268135650928,1.2118531529900678,36.31063175201416,1363075.0,69.0,13875,1,598,200,200
bl,POD,numpy,256,0,0.0005048073944635689,0.15710359449089598,0.0015034022508189082,0.46676684549460934,2.9710768044944897,0.2248220443725586,3552000.0,nan,13875,1,598,200,200
bl,AE,torch,256,0,0.0011073254281654954,0.3446161980666559,0.002283029956743121,0.7088207367643768,2.05684103283873,27.540376901626587,14420019.0,98.0,13875,1,598,200,200
bl,AEJax,jax,256,0,0.0010905355447903275,0.339390935801778,0.002294666599482298,0.712433608183556,2.09915331563143,26.443325996398926,14420019.0,103.0,13875,1,598,200,200
bl,CAE,torch,256,0,0.0012858925620093942,0.400188954909143,0.0019560339860618114,0.6072970908863531,1.5175258673099334,8.57692289352417,2673923.0,70.0,13875,1,598,200,200
bl,CAEJax,jax,256,0,0.0012620787601917982,0.3927777444057514,0.0019481992349028587,0.60486460677792,1.5399665978861479,39.647544860839844,2673923.0,72.0,13875,1,598,200,200
