stage,model,latent,branch,r_field,r_sensor,r_sensor_used,ridge,n_delays,channels,seed,n_params,nmse_train,nmse_test,nmse_latent,cos_test,energy_test,floor_test,fit_seconds,n_train,n_test,run,tag
R,podlse,pod,closed-form,2,100,100,1e-06,25,all,0,200,0.8168876722923217,0.8577748253531288,0.43190049695009375,0.38864096661219744,0.4083195439348804,0.7461234650593884,2.862572193145752,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,2,100,100,0.0001,25,all,0,200,0.8168877114877219,0.857758018315023,0.4318354823538445,0.3886580900752329,0.40826289491667284,0.7461234650593884,3.0922691822052,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,2,100,100,0.001,25,all,0,200,0.8168913302600347,0.8576147731592312,0.4312813677079563,0.38880351987332606,0.4077637474563277,0.7461234650593884,3.028944730758667,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,2,100,100,0.01,25,all,0,200,0.8171007100253052,0.8567646896160614,0.4279929930407943,0.38963459893062574,0.40380381138310134,0.7461234650593884,2.8353397846221924,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,2,100,100,0.1,25,all,0,200,0.8201129686142772,0.8563438194261795,0.4263649426195256,0.38965043633666724,0.38424119039336135,0.7461234650593884,2.903534412384033,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,2,200,200,1e-06,25,all,0,400,0.8107637551667319,0.8518794706324241,0.4090955205765798,0.3943797683564228,0.41754543305525244,0.7461234650593884,2.859987735748291,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,2,200,200,0.0001,25,all,0,400,0.8107916135054662,0.8516364577112755,0.4081554746950675,0.3947397278471705,0.4165124726780845,0.7461234650593884,2.8506128787994385,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,2,200,200,0.001,25,all,0,400,0.811575987839468,0.8515505470313999,0.4078231467661113,0.3952471224100861,0.4123834564833873,0.7461234650593884,2.8720059394836426,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,2,200,200,0.01,25,all,0,400,0.8142306829505466,0.8537231895362337,0.4162275708148992,0.39317741969235914,0.40628758824497796,0.7461234650593884,2.8838887214660645,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,2,200,200,0.1,25,all,0,400,0.8178700622666298,0.8553038029380324,0.422341851123951,0.3910437851227739,0.39307583698401083,0.7461234650593884,2.866143226623535,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
