latent,branch,label,nmse_train,nmse_test,epochs_run,best_epoch,stopped_early,train_loss,val_loss,n_params,seconds,track
pod,linear,pod+linear,0.7039100610258735,0.7648749163669377,601,465,1,0.40301042768332335,0.4313032925128937,4816,90.85264778137207,"{'train': [(0, 0.9757471305932309), (5, 0.9035092530472207), (10, 0.8702175223937897), (15, 0.8468048319235242), (20, 0.8280579824457832), (25, 0.8122899740137787), (30, 0.7990931385180886), (35, 0.7879920340399414), (40, 0.7785234009706955), (45, 0.7704675135570002), (50, 0.7636003275198231), (55, 0.7578757415566441), (60, 0.752669465177202), (65, 0.7485039334367338), (70, 0.7448223069509711), (75, 0.7415225783027669), (80, 0.7386518889283492), (85, 0.7361929596351552), (90, 0.7338171932986388), (95, 0.7317837212126276), (100, 0.7300964759314004), (105, 0.7283858154832246), (110, 0.7269779820953455), (115, 0.7254905250482809), (120, 0.7241354762979673), (125, 0.7230711055954436), (130, 0.7219578004283537), (135, 0.7210051593469292), (140, 0.7200988568935942), (145, 0.7192345696416708), (150, 0.7183605268000237), (155, 0.7176882635736158), (160, 0.7169350742270737), (165, 0.7161744267248257), (170, 0.71567554759553), (175, 0.7152112238236842), (180, 0.7146421943400237), (185, 0.7141137603777775), (190, 0.7135971396482835), (195, 0.7131495520872815), (200, 0.7127118954387771), (205, 0.7122467476260189), (210, 0.7118106114509921), (215, 0.7115935393901358), (220, 0.7113102094344375), (225, 0.7108904716006904), (230, 0.7105449054136291), (235, 0.7103127515905957), (240, 0.7098798555326683), (245, 0.7096669517570249), (250, 0.7094632363493811), (255, 0.7092156234871442), (260, 0.708987736378531), (265, 0.7086185335720637), (270, 0.7084285382727721), (275, 0.7082827027167153), (280, 0.7080287652550524), (285, 0.7078768448977247), (290, 0.7076316110631616), (295, 0.707477234859672), (300, 0.707341048550181), (305, 0.7071323277212009), (310, 0.7069842463249367), (315, 0.7068032524191795), (320, 0.7066896244236436), (325, 0.7065129141905971), (330, 0.7064297531453729), (335, 0.7063184048670964), (340, 0.7062228414521817), (345, 0.7061063131967771), (350, 0.7060262658366273), (355, 0.705993730897122), (360, 0.7059116890079254), (365, 0.7059212407852353), (370, 0.7058576587882806), (375, 0.7058647959776111), (380, 0.7058260886795498), (385, 0.7058044056326583), (390, 0.7057737640562718), (395, 0.7057589917115016), (400, 0.7057374572999707), (405, 0.7057247954556277), (410, 0.7056888085798473), (415, 0.7056906344174121), (420, 0.7056839347114088), (425, 0.7056787190397213), (430, 0.7056786069617521), (435, 0.7056717730344161), (440, 0.7056708687825565), (445, 0.7056677388596295), (450, 0.7056661854225698), (455, 0.7056655798536272), (460, 0.7056651254460634), (465, 0.7056649087697273), (470, 0.7056642673693735), (475, 0.7056641314832898), (480, 0.705664146838107), (485, 0.7056639367400757), (490, 0.7056638208063152), (495, 0.7056637668805746), (500, 0.705663701963448), (505, 0.7056636643568108), (510, 0.7056636370243843), (515, 0.7056635972494613), (520, 0.7056635880612997), (525, 0.7056634928186344), (530, 0.7056635037698328), (535, 0.7056634373158387), (540, 0.7056634610738234), (545, 0.7056634212754721), (550, 0.7056633448613149), (555, 0.7056633114754411), (560, 0.705663287752835), (565, 0.7056632818095943), (570, 0.7056632100551986), (575, 0.7056631766014011), (580, 0.7056631683859207), (585, 0.7056631842486852), (590, 0.7056631303499307), (595, 0.7056631130092254), (600, 0.7056630587683727)], 'test': [(0, 0.982662682536919), (5, 0.9282062676431311), (10, 0.9045584184448838), (15, 0.8867435493797522), (20, 0.8713481748140599), (25, 0.8580305358596813), (30, 0.8465187561830622), (35, 0.8367281880697014), (40, 0.828301281443777), (45, 0.8210873159804717), (50, 0.815125524330351), (55, 0.8097963840175847), (60, 0.8054535193254257), (65, 0.8015960694125391), (70, 0.7981922789506448), (75, 0.7952832545979761), (80, 0.7927481621718598), (85, 0.7905191588226036), (90, 0.7885442328427126), (95, 0.7867521106852434), (100, 0.7851639888674887), (105, 0.7836582740343816), (110, 0.7824056043651346), (115, 0.7811149532148985), (120, 0.7799301885340156), (125, 0.7790282115536359), (130, 0.7780033308869595), (135, 0.7772262490836441), (140, 0.7764237585643408), (145, 0.7757701200666463), (150, 0.7749486416688388), (155, 0.7742917917106121), (160, 0.7737847813812138), (165, 0.7731247185259538), (170, 0.7727285961900515), (175, 0.772261953906579), (180, 0.7715979842545735), (185, 0.7713130953658554), (190, 0.7708694395385177), (195, 0.7704760923840064), (200, 0.7701972726252931), (205, 0.7698725906268507), (210, 0.7694885832101108), (215, 0.7690797289051122), (220, 0.7688326046529562), (225, 0.7685664385846742), (230, 0.7683640340551904), (235, 0.768056838938312), (240, 0.7677437980885047), (245, 0.7676094116832773), (250, 0.7673118390036081), (255, 0.7671155964838205), (260, 0.7669839683556717), (265, 0.7667589247654021), (270, 0.7666246680143519), (275, 0.7663071163204288), (280, 0.7661753105081606), (285, 0.7659857769812022), (290, 0.7659214857096146), (295, 0.7657004915548768), (300, 0.7657298437077183), (305, 0.7655908760772208), (310, 0.7654021647669749), (315, 0.7651419076396094), (320, 0.7651077436073079), (325, 0.7649996197236322), (330, 0.7649154204534542), (335, 0.7648264529757692), (340, 0.7647139281709794), (345, 0.7647479717088314), (350, 0.764616295278158), (355, 0.7646448284749466), (360, 0.7645405123833893), (365, 0.7644798248805773), (370, 0.7645338973727773), (375, 0.7644626144705988), (380, 0.7644450406807509), (385, 0.7644450971094386), (390, 0.7644137492010347), (395, 0.7643939137469203), (400, 0.7643598467361901), (405, 0.7643705784313107), (410, 0.764341084885438), (415, 0.7643400809116666), (420, 0.7643347842063214), (425, 0.7643377845234638), (430, 0.7643323991833781), (435, 0.7643288548986732), (440, 0.7643279137325037), (445, 0.7643257857460432), (450, 0.7643264229132553), (455, 0.7643255251351696), (460, 0.7643254094765604), (465, 0.7643252517202064), (470, 0.7643246842656591), (475, 0.7643245868290222), (480, 0.7643245796961403), (485, 0.7643245427570874), (490, 0.7643244712208063), (495, 0.7643244338079278), (500, 0.7643243710477088), (505, 0.7643242859804541), (510, 0.7643242891919098), (515, 0.7643243190585761), (520, 0.7643242875282301), (525, 0.7643241839609303), (530, 0.7643242432214018), (535, 0.7643241753056176), (540, 0.7643241403730449), (545, 0.764324055158901), (550, 0.7643240316174843), (555, 0.7643239967783442), (560, 0.7643239816529944), (565, 0.7643239443658557), (570, 0.7643239076158953), (575, 0.7643239417257259), (580, 0.764323872916834), (585, 0.7643238525542649), (590, 0.7643238134154108), (595, 0.764323842632292), (600, 0.7643238076576594)]}"
pod,mlp,pod+mlp,0.7013847523347008,0.791778596393702,223,23,1,0.26288497797003735,0.4738830626010895,57104,37.72886848449707,"{'train': [(0, 0.9578570992278668), (5, 0.8305820824707771), (10, 0.7704910143732109), (15, 0.7325904005546112), (20, 0.7095322417308023), (25, 0.6947528976112751), (30, 0.6819610122238784), (35, 0.6728981296884646), (40, 0.6678171141681862), (45, 0.6628530955741165), (50, 0.6605915299477225), (55, 0.6583136390377675), (60, 0.6572384324369882), (65, 0.6563604132353701), (70, 0.6555557689001316), (75, 0.6549736024162641), (80, 0.6546660011833461), (85, 0.6544238858434193), (90, 0.6542068012838153), (95, 0.6540631153940982), (100, 0.6539699779461193), (105, 0.6538944045746741), (110, 0.6538307972138602), (115, 0.6537937023254674), (120, 0.6537697829836445), (125, 0.6537512208118078), (130, 0.6537317725865317), (135, 0.6537206260034824), (140, 0.653710334601352), (145, 0.6537045430614435), (150, 0.653699667972225), (155, 0.653696009111452), (160, 0.6536937018618433), (165, 0.6536905896410057), (170, 0.6536869188058103), (175, 0.6536838602307425), (180, 0.6536814708060029), (185, 0.6536783234043667), (190, 0.6536747921757862), (195, 0.6536716759575394), (200, 0.6536687626686895), (205, 0.6536662018638126), (210, 0.6536630983676545), (215, 0.6536603988807902), (220, 0.6536572725399445)], 'test': [(0, 0.9655288060254926), (5, 0.85918733868043), (10, 0.8178952054193704), (15, 0.7953933807361377), (20, 0.7905539454014021), (25, 0.7876185681998559), (30, 0.7893662303749206), (35, 0.7914868452302309), (40, 0.793994529137234), (45, 0.794883111124094), (50, 0.79585745140636), (55, 0.796100206348889), (60, 0.7969708700626977), (65, 0.79837718066595), (70, 0.7980288422830564), (75, 0.7980171227986936), (80, 0.7982968653906872), (85, 0.7984778001591952), (90, 0.7986401229358696), (95, 0.798735868237134), (100, 0.7988180985166075), (105, 0.7988589368080884), (110, 0.7988848541924041), (115, 0.7989165451597764), (120, 0.7989440582407332), (125, 0.7989584561678365), (130, 0.7989661526747569), (135, 0.7989901709936438), (140, 0.7989915562130119), (145, 0.7990019000934184), (150, 0.7990017814673259), (155, 0.7990063673601127), (160, 0.7990099790278224), (165, 0.7990116497347458), (170, 0.7990146328611885), (175, 0.799017096470961), (180, 0.7990230924702681), (185, 0.799026570480239), (190, 0.7990280886989648), (195, 0.7990305295562992), (200, 0.7990349978153771), (205, 0.7990400052732668), (210, 0.7990442652115616), (215, 0.7990493596602279), (220, 0.7990519964840274)]}"
pod,cnn,pod+cnn,0.687889279186841,0.7814165227820203,214,14,1,0.2024449220111778,0.4561958611011505,37872,42.876986503601074,"{'train': [(0, 0.8197725254819406), (5, 0.7265580672281106), (10, 0.7020034839072066), (15, 0.6851856079766653), (20, 0.670257606966834), (25, 0.6564404118746314), (30, 0.6498153872920891), (35, 0.6442117290843663), (40, 0.6417455069791139), (45, 0.6387422455230861), (50, 0.6368114310318846), (55, 0.6353455840107659), (60, 0.634538031398024), (65, 0.6337593950707292), (70, 0.6332252314412216), (75, 0.6329874321235376), (80, 0.6326431512506001), (85, 0.6325104176786769), (90, 0.6323568609093458), (95, 0.6322331793276091), (100, 0.6321847239553454), (105, 0.6321128577788672), (110, 0.6320897082792024), (115, 0.6320405720531328), (120, 0.6320235946981504), (125, 0.6320103966541017), (130, 0.6319993081579423), (135, 0.6319936008071935), (140, 0.6319852338214519), (145, 0.6319812340075008), (150, 0.6319787965670703), (155, 0.6319745951327181), (160, 0.6319708008907515), (165, 0.6319661857191716), (170, 0.6319617579236996), (175, 0.6319586059954598), (180, 0.6319561754311133), (185, 0.6319525002540272), (190, 0.6319470907461283), (195, 0.6319446227499714), (200, 0.6319389631035652), (205, 0.6319362982155665), (210, 0.6319310358821906)], 'test': [(0, 0.8586263879440837), (5, 0.7915696216212297), (10, 0.7839755821213655), (15, 0.7819391652630944), (20, 0.7898490025820776), (25, 0.7958403733038298), (30, 0.7977664852915399), (35, 0.8039653049245521), (40, 0.8066968307492751), (45, 0.8083033388592281), (50, 0.8085332808091921), (55, 0.8100231046657539), (60, 0.8110032064308621), (65, 0.811426803870086), (70, 0.8120066525525863), (75, 0.8123517948861384), (80, 0.8126144877150286), (85, 0.8128261294685594), (90, 0.8130372091712627), (95, 0.813044737467489), (100, 0.8131863883015659), (105, 0.813195254481536), (110, 0.8132522122354976), (115, 0.813248582756649), (120, 0.8132676854068341), (125, 0.8132995729071637), (130, 0.8132990105205168), (135, 0.8133189494232622), (140, 0.8133250111443179), (145, 0.8133295134514118), (150, 0.8133343416197306), (155, 0.8133358426619368), (160, 0.8133403813865004), (165, 0.8133386085586354), (170, 0.8133449872579791), (175, 0.8133492376447897), (180, 0.813356034346542), (185, 0.8133596753100477), (190, 0.8133620838335813), (195, 0.8133677344425718), (200, 0.8133704749139827), (205, 0.8133741797677659), (210, 0.8133753231864407)]}"
pod,gru,pod+gru,0.6938229512216818,0.7857044794159727,262,62,1,0.3319232227566006,0.48993220925331116,16016,47.75268793106079,"{'train': [(0, 0.984871419620304), (5, 0.8972935825608389), (10, 0.8441189297389752), (15, 0.8089973450324027), (20, 0.7830007741088013), (25, 0.7624507997787101), (30, 0.7474702207917099), (35, 0.7346450994095493), (40, 0.7246649083376044), (45, 0.715618958031197), (50, 0.7085377163147318), (55, 0.7012581316040277), (60, 0.6970154533202219), (65, 0.693350009184621), (70, 0.6909015194291425), (75, 0.6885445195622304), (80, 0.6869924795998914), (85, 0.6860419907636218), (90, 0.6855399079785628), (95, 0.6848189385103771), (100, 0.6846253706228024), (105, 0.6843824223918641), (110, 0.6841723022088546), (115, 0.684052961792369), (120, 0.6839338027084605), (125, 0.683860366283907), (130, 0.6838300427351032), (135, 0.6837919529099199), (140, 0.6837570363524726), (145, 0.6837411787350435), (150, 0.683727068258992), (155, 0.6837181409798775), (160, 0.6837087047947346), (165, 0.6837056121175816), (170, 0.6837016551573805), (175, 0.6836974068891555), (180, 0.6836954071176837), (185, 0.683692614455274), (190, 0.6836922283353682), (195, 0.6836911466346146), (200, 0.6836883374382345), (205, 0.6836877867975395), (210, 0.6836848954053507), (215, 0.683683042374399), (220, 0.6836796587246446), (225, 0.6836791111165698), (230, 0.6836768657786902), (235, 0.6836756187906596), (240, 0.6836738792108149), (245, 0.683672702559141), (250, 0.6836698213156396), (255, 0.683668331808546), (260, 0.6836671819353535)], 'test': [(0, 0.9899781405236397), (5, 0.9155617437653871), (10, 0.8698431212828561), (15, 0.8470303296012913), (20, 0.8272859908215343), (25, 0.8128724458429957), (30, 0.8051664779156159), (35, 0.7975958165278791), (40, 0.7933192909518543), (45, 0.787953127886647), (50, 0.7908959867515832), (55, 0.788414857578059), (60, 0.787801814613143), (65, 0.7892493515690182), (70, 0.7891201773011097), (75, 0.7902817568977734), (80, 0.7921485220932595), (85, 0.7924624668736177), (90, 0.7928935063089474), (95, 0.7939108929238753), (100, 0.7940714434600034), (105, 0.7948020027822077), (110, 0.7949406806589283), (115, 0.7950456609312891), (120, 0.7952949568086636), (125, 0.7953726862133395), (130, 0.7953880454499069), (135, 0.7953607470939013), (140, 0.7954483127951237), (145, 0.7954785817651872), (150, 0.7954860865391907), (155, 0.795525126006701), (160, 0.795526964653728), (165, 0.7955359373027607), (170, 0.7955423531429279), (175, 0.7955451946483705), (180, 0.7955462406242738), (185, 0.7955468081344528), (190, 0.7955471990398125), (195, 0.7955537582014407), (200, 0.7955566298129142), (205, 0.7955585110538173), (210, 0.7955617386408458), (215, 0.795563161837383), (220, 0.7955657536292335), (225, 0.7955675254851254), (230, 0.7955699507420603), (235, 0.7955739094046205), (240, 0.7955704166221429), (245, 0.7955750934249531), (250, 0.7955785863397652), (255, 0.7955869252273985), (260, 0.7955923890944071)]}"
ae,linear,ae+linear,0.6912511712169963,0.7615278374300687,296,96,1,0.43573365313512785,0.4870319068431854,4816,45.81642198562622,"{'train': [(0, 0.8603701769515505), (5, 0.7263390903463258), (10, 0.7161489834896259), (15, 0.7153221143062214), (20, 0.7108428025209196), (25, 0.7073449310504074), (30, 0.7038827137250276), (35, 0.7054887410070935), (40, 0.7038872589542717), (45, 0.6973943394327071), (50, 0.6966000470605344), (55, 0.696865512979187), (60, 0.6980177273508015), (65, 0.6934998692418283), (70, 0.6933268646617652), (75, 0.6929503381306926), (80, 0.6923838310597041), (85, 0.6909788361665646), (90, 0.6916548491210915), (95, 0.6911682047465257), (100, 0.6919663671898297), (105, 0.6917703896168907), (110, 0.6907973283864809), (115, 0.6911817312470299), (120, 0.6903906768864365), (125, 0.6904023488825695), (130, 0.690363034988493), (135, 0.6904729328314289), (140, 0.6904736313488609), (145, 0.6904411482323463), (150, 0.690418094908345), (155, 0.690418961017363), (160, 0.6904170522115837), (165, 0.6904108338312896), (170, 0.6903967438090611), (175, 0.6904056854343906), (180, 0.6904122217612115), (185, 0.6904002782909111), (190, 0.6903980252887345), (195, 0.6904040440324133), (200, 0.6904009758628649), (205, 0.6904031231397192), (210, 0.6904036525143107), (215, 0.690405535658849), (220, 0.6904053886367756), (225, 0.6904011108605355), (230, 0.6904014216407146), (235, 0.6904076297139881), (240, 0.6904054971549194), (245, 0.6904009634303265), (250, 0.6904003300081681), (255, 0.6904035166857283), (260, 0.6904043860786413), (265, 0.6903991262138126), (270, 0.6903990364003726), (275, 0.6904005641851553), (280, 0.6904016822835746), (285, 0.6904041573993849), (290, 0.6904021097445368), (295, 0.6904025248588951)], 'test': [(0, 0.9670009583510635), (5, 0.795770237261206), (10, 0.7837599827564581), (15, 0.7804369909883165), (20, 0.7768591404615212), (25, 0.7747289330865084), (30, 0.7743322000136379), (35, 0.7751620146096807), (40, 0.7773430500370007), (45, 0.7685823732043985), (50, 0.7656024628267464), (55, 0.7676356433590874), (60, 0.7665511436290386), (65, 0.7634273313127442), (70, 0.7632819009355459), (75, 0.7635774473818681), (80, 0.762162092160867), (85, 0.7615289265403788), (90, 0.7618371642315795), (95, 0.7616394330422913), (100, 0.7628925986713889), (105, 0.7622580177896985), (110, 0.7611107769327746), (115, 0.7613924006349778), (120, 0.7607975460909204), (125, 0.7608906941938868), (130, 0.760872133365771), (135, 0.7609418529073141), (140, 0.760940206338884), (145, 0.7609210642521423), (150, 0.7608367861978231), (155, 0.760871195865903), (160, 0.7608558403550123), (165, 0.7608722764172506), (170, 0.7608775004671129), (175, 0.760866747445142), (180, 0.7608667529355087), (185, 0.7608676686823379), (190, 0.7608710725996464), (195, 0.7608676605458563), (200, 0.7608697391412915), (205, 0.7608701040393138), (210, 0.7608683592427309), (215, 0.7608686403253512), (220, 0.760873394553915), (225, 0.7608703693533101), (230, 0.7608700136392412), (235, 0.7608699971739644), (240, 0.7608630562643759), (245, 0.7608723761526933), (250, 0.7608679619234334), (255, 0.7608640731987389), (260, 0.7608726146344522), (265, 0.76087033613633), (270, 0.7608754445141931), (275, 0.7608717755387171), (280, 0.7608699018586824), (285, 0.7608713589228897), (290, 0.7608697385680505), (295, 0.7608679639605432)]}"
ae,mlp,ae+mlp,0.6965615492920182,0.7806526793400191,205,5,1,0.17198589430735992,0.5087775588035583,57104,36.2796413898468,"{'train': [(0, 0.7507901015325434), (5, 0.6992579828722596), (10, 0.6704570722064009), (15, 0.6511468997169867), (20, 0.6323933961349861), (25, 0.6262651455621289), (30, 0.618581988188337), (35, 0.6161421108282403), (40, 0.6126922232596768), (45, 0.6122222550277228), (50, 0.6096706124027013), (55, 0.6089202480502687), (60, 0.6081446476656968), (65, 0.6082495821028854), (70, 0.6079269803598072), (75, 0.607717914940041), (80, 0.6076374335898139), (85, 0.6075364621909294), (90, 0.6074101389039356), (95, 0.6073751373138524), (100, 0.6073450883890434), (105, 0.6073341823268004), (110, 0.6073052761803639), (115, 0.6072954890413242), (120, 0.6072750655547535), (125, 0.6072771889895099), (130, 0.6072736158558115), (135, 0.60727186912407), (140, 0.607265409779911), (145, 0.6072655425592624), (150, 0.6072617234161948), (155, 0.6072594713212213), (160, 0.6072521432673565), (165, 0.6072544417679757), (170, 0.6072446822495556), (175, 0.6072483745632398), (180, 0.6072455255627157), (185, 0.6072414862607453), (190, 0.6072369798024766), (195, 0.6072380967656382), (200, 0.6072320516772731)], 'test': [(0, 0.8130817718969952), (5, 0.7918718670834403), (10, 0.8013934765870059), (15, 0.8119484293992842), (20, 0.8228452517805497), (25, 0.8347501413283606), (30, 0.8387197012975703), (35, 0.8485275107965548), (40, 0.8517500603674041), (45, 0.8550616906928421), (50, 0.8562920584285199), (55, 0.8587961934719365), (60, 0.8597549391878798), (65, 0.8609304626364308), (70, 0.861447298261859), (75, 0.8618384555552676), (80, 0.8622641437113518), (85, 0.8626042143057385), (90, 0.8628691514187516), (95, 0.8629092034854144), (100, 0.8630680058479769), (105, 0.8631262128013564), (110, 0.8632008524970141), (115, 0.8632485681717672), (120, 0.8632757191090473), (125, 0.8633050058160366), (130, 0.863310833436968), (135, 0.8633375128532753), (140, 0.8633464799418369), (145, 0.8633651187851702), (150, 0.863369695494725), (155, 0.8633806910276165), (160, 0.8633964014431937), (165, 0.8634008098748207), (170, 0.8634143660124202), (175, 0.8634190884460483), (180, 0.8634292722399588), (185, 0.8634421593303055), (190, 0.8634531241995422), (195, 0.863467433472451), (200, 0.8634749332920119)]}"
ae,cnn,ae+cnn,0.6986510994242454,0.7708146687398681,206,6,1,0.2643382688900372,0.5022389888763428,37872,36.28947639465332,"{'train': [(0, 0.7333297665038984), (5, 0.6991258409737424), (10, 0.6859608769838129), (15, 0.6673947448025743), (20, 0.6521132178502768), (25, 0.6476258423645849), (30, 0.6414386294430513), (35, 0.6365770724951583), (40, 0.6345699032148338), (45, 0.6326969682002982), (50, 0.6307747859436956), (55, 0.6300957499721569), (60, 0.6293637606865912), (65, 0.6295481916855075), (70, 0.628956694925303), (75, 0.6287295230139913), (80, 0.6286679602768057), (85, 0.6285442157211341), (90, 0.6284475822532961), (95, 0.6283157663706046), (100, 0.6283671792220523), (105, 0.6283064671458501), (110, 0.6282833509986563), (115, 0.6282897979927969), (120, 0.6282550683134096), (125, 0.6282715798422807), (130, 0.6282692843301667), (135, 0.6282541536328918), (140, 0.6282511354450263), (145, 0.6282462458454602), (150, 0.6282512073156222), (155, 0.6282474631681658), (160, 0.6282455655368822), (165, 0.628243626281657), (170, 0.6282406812677985), (175, 0.6282420870120689), (180, 0.6282367592274499), (185, 0.6282379560099552), (190, 0.6282280750923437), (195, 0.6282252453499508), (200, 0.6282237548755029), (205, 0.6282211604689132)], 'test': [(0, 0.7955236267148499), (5, 0.7705753769952451), (10, 0.7839542251191114), (15, 0.7913800520369645), (20, 0.8033542717393022), (25, 0.8159908836528577), (30, 0.8194396551400961), (35, 0.827335789371702), (40, 0.8285064477884706), (45, 0.833068287999186), (50, 0.8335093690828194), (55, 0.8370317811659984), (60, 0.8375842582116863), (65, 0.8379624792673954), (70, 0.8405998212713931), (75, 0.8398521576786572), (80, 0.8398624166254739), (85, 0.8401620378806025), (90, 0.840515472957284), (95, 0.840578356040331), (100, 0.8406828407316814), (105, 0.8407991454481929), (110, 0.8408173580994629), (115, 0.8408799305915914), (120, 0.8409398794086637), (125, 0.840967585293154), (130, 0.8409910216851945), (135, 0.8409718559246857), (140, 0.84100449656173), (145, 0.8410045351381359), (150, 0.8410328440221164), (155, 0.8410324301733796), (160, 0.8410236410187439), (165, 0.8410629259924495), (170, 0.8410643736171322), (175, 0.8410676990274878), (180, 0.8410518071235421), (185, 0.8410756521601365), (190, 0.8410719343509914), (195, 0.8410932367640629), (200, 0.8411018816589276), (205, 0.8410995657737956)]}"
ae,gru,ae+gru,0.7152074913788191,0.7828337849613488,203,3,1,0.24255009304295788,0.5002228617668152,16016,36.65886163711548,"{'train': [(0, 0.7517289498658732), (5, 0.7023791836035099), (10, 0.6841415897029927), (15, 0.6668693405936608), (20, 0.6546186779498171), (25, 0.6457757154112209), (30, 0.6405048962275801), (35, 0.6360475260347405), (40, 0.6335594808059744), (45, 0.6322405227447248), (50, 0.6304272056925362), (55, 0.6298207107808089), (60, 0.6291066517790564), (65, 0.6288621584439809), (70, 0.6284537711148968), (75, 0.6282261946820462), (80, 0.6281586613842053), (85, 0.6280358562700159), (90, 0.6279409418118067), (95, 0.6278975141012237), (100, 0.6278490426152413), (105, 0.627824225234737), (110, 0.6278039984135342), (115, 0.627776836246381), (120, 0.6277761254153867), (125, 0.6277670818864722), (130, 0.6277682885692345), (135, 0.6277611347436662), (140, 0.6277588342492495), (145, 0.6277554795915793), (150, 0.6277486762909742), (155, 0.6277423089371594), (160, 0.6277364222545282), (165, 0.6277334202679742), (170, 0.6277274200948759), (175, 0.6277206665757676), (180, 0.6277206108604965), (185, 0.6277176188653352), (190, 0.6277158533199609), (195, 0.6277110991312999), (200, 0.6277057156084072)], 'test': [(0, 0.8085626683240333), (5, 0.7855318070097547), (10, 0.8073373258191757), (15, 0.8230924836835359), (20, 0.8394707602343909), (25, 0.855443330560003), (30, 0.8608274794221853), (35, 0.8686035673719613), (40, 0.8712721526370446), (45, 0.8752441297402666), (50, 0.8776698999322405), (55, 0.8795227425099753), (60, 0.8806465371214668), (65, 0.8818710540475833), (70, 0.8824852400051435), (75, 0.8828850092094085), (80, 0.8833407653102237), (85, 0.8835364594227565), (90, 0.8837452400733516), (95, 0.8838928199296853), (100, 0.8839870840238637), (105, 0.8840605149862079), (110, 0.8841142025772694), (115, 0.8841293386029316), (120, 0.8841850900572465), (125, 0.8842107880204824), (130, 0.8842275708786974), (135, 0.8842403521618518), (140, 0.884246377084909), (145, 0.8842584048189533), (150, 0.8842683476093062), (155, 0.8842670055123902), (160, 0.8842766026336981), (165, 0.884280950811134), (170, 0.8842867385760445), (175, 0.8842928192672405), (180, 0.8843077325938282), (185, 0.8843101677332441), (190, 0.8843239990755547), (195, 0.884334437303555), (200, 0.8843458184411751)]}"
