model,sweep,value,n_latent,learning_rate,weight_decay,batch_size,width,noise,n_params,train_loss,val_loss,test_mse_clean,test_rel_clean,n_epochs_run,fit_s
AEJax,noise,0.1,32,0.001,1e-06,32,1.0,0.1,7155411.0,0.13746906178338186,0.24168632924556732,0.00031792520894668996,0.18137509002483637,357,43.74696275498718
CAEJax,noise,0.3,32,0.001,1e-06,32,1.0,0.3,379939.0,0.4630490711757115,0.5165389776229858,0.0006663976819254458,0.3801616714618172,170,47.740877292933874
CAEJax,n_latent,2,2,0.001,1e-06,32,1.0,0.0,72709.0,0.7499474797930036,0.7712458372116089,0.001170515432022512,0.6677797601182771,400,118.93124002404511
AEJax,n_latent,8,8,0.001,1e-06,32,1.0,0.0,1792347.0,0.5720882415771484,0.6470192074775696,0.0009786055888980627,0.5582950788402637,338,19.716507741017267
CAEJax,n_latent,16,16,0.001,1e-06,32,1.0,0.0,216083.0,0.5255323137555804,0.5638652443885803,0.0008161951554939151,0.4656398286041086,271,76.6578667369904
AEJax,n_latent,64,64,0.001,1e-06,32,1.0,0.0,14370675.0,0.02835488106523241,0.08896056562662125,0.00012007406621705741,0.06850232721520463,400,86.51941206608899
CAEJax,n_latent,128,128,0.001,1e-06,32,1.0,0.0,1363075.0,0.13699090480804443,0.1780751794576645,0.00028495758306235075,0.16256847304649708,257,77.21527815097943
AEJax,learning_rate,1e-05,32,1e-05,1e-06,32,1.0,0.0,7155411.0,0.6623278345380511,0.6914611458778381,0.001039333757944405,0.5929405359173378,400,53.18280893994961
CAEJax,learning_rate,3e-05,32,3e-05,1e-06,32,1.0,0.0,379939.0,0.5004487378256661,0.5270857810974121,0.0007529861177317798,0.4295790344280143,400,112.38696919404902
AEJax,learning_rate,0.0003,32,0.0003,1e-06,32,1.0,0.0,7155411.0,0.14377447537013463,0.24071234464645386,0.00032358564203605056,0.18460580399455742,400,49.21075229498092
CAEJax,learning_rate,0.001,32,0.001,1e-06,32,1.0,0.0,379939.0,0.4110891819000244,0.45276781916618347,0.0006542618502862751,0.3732567802919033,289,79.73542894003913
AEJax,learning_rate,0.01,32,0.01,1e-06,32,1.0,0.0,7155411.0,0.15318255765097483,0.3123408555984497,0.00045155754196457565,0.25761385010676546,363,44.64345772296656
CAEJax,learning_rate,0.03,32,0.03,1e-06,32,1.0,0.0,379939.0,0.9686909403119769,0.9681693315505981,0.0016681909328326583,0.9517039335685178,377,103.60393780609593
AEJax,weight_decay,1e-08,32,0.001,1e-08,32,1.0,0.0,7155411.0,0.13199326821735927,0.23826810717582703,0.0003217362391296774,0.18355071852076235,270,34.06399727705866
CAEJax,weight_decay,1e-07,32,0.001,1e-07,32,1.0,0.0,379939.0,0.41717580386570524,0.45610514283180237,0.0006583546637557447,0.37559173284535124,232,65.20710262504872
AEJax,weight_decay,1e-05,32,0.001,1e-05,32,1.0,0.0,7155411.0,0.18044633524758474,0.26148855686187744,0.0003584476071409881,0.20449457611847693,400,49.96030963002704
CAEJax,weight_decay,0.0001,32,0.001,0.0001,32,1.0,0.0,379939.0,0.37452925954546246,0.3982953727245331,0.0005712246056646109,0.32588398214047215,400,111.49201078095939
AEJax,weight_decay,0.01,32,0.001,0.01,32,1.0,0.0,7155411.0,1.0014175006321497,0.9956731796264648,0.0017529145115986466,1.0000387863666187,81,11.06284858006984
CAEJax,batch_size,8,32,0.001,1e-06,8,1.0,0.0,379939.0,0.3922809192112514,0.4297739565372467,0.0006189441191963851,0.35310799339861354,266,87.47754385101143
AEJax,batch_size,32,32,0.001,1e-06,32,1.0,0.0,7155411.0,0.13008461679731095,0.22977179288864136,0.00031803984893485904,0.18144192568465742,346,42.5336787259439
CAEJax,batch_size,64,32,0.001,1e-06,64,1.0,0.0,379939.0,0.42072159903390066,0.46304911375045776,0.0006687251152470708,0.3815080816774466,260,70.3297922789352
AEJax,batch_size,256,32,0.001,1e-06,256,1.0,0.0,7155411.0,0.1367775797843933,0.23964282870292664,0.000328853348037228,0.1876110334461348,400,15.588509810972027
CAEJax,batch_size,512,32,0.001,1e-06,512,1.0,0.0,379939.0,0.44770065943400067,0.49116119742393494,0.0007113607134670019,0.4058317161831532,400,92.98633672599681
AEJax,width,0.25,32,0.001,1e-06,32,0.25,0.0,1793139.0,0.5686022894723075,0.6424149870872498,0.0009637043694965541,0.5497939241820842,352,17.405007792054676
CAEJax,width,0.5,32,0.001,1e-06,32,0.5,0.0,178467.0,0.5195433071681431,0.5500934720039368,0.0007891327841207385,0.45020072940950345,279,67.1033846300561
AEJax,width,1.0,32,0.001,1e-06,32,1.0,0.0,7155411.0,0.13008461679731095,0.22977179288864136,0.00031803984893485904,0.18144192568465742,346,42.526057210052386
CAEJax,width,1.5,32,0.001,1e-06,32,1.5,0.0,604451.0,0.3361670289720808,0.38366323709487915,0.0005566641921177506,0.3175772574279711,274,97.52466475602705
AEJax,width,3.0,32,0.001,1e-06,32,3.0,0.0,21635027.0,0.01371205278805324,0.05793663486838341,7.921576616354287e-05,0.04519264238564846,400,134.9779382480774
