tag,runs,test_run,model,latent,branch,r_field,r_sensor,n_delays,ridge,n_params,nmse_train,nmse_test,nmse_latent,floor_test,fit_seconds,seed,n_train,n_test
linear_baseline,4p5d_10ms_yaw_0_0_0,,podlse,pod,closed-form,64,100,5,0.001,6400,0.6437935004035618,0.696891130041384,0.6051010734156014,0.23207692339544772,1.305088996887207,0,4365,1521
linear_baseline,4p5d_10ms_yaw_0_0_0,,epod,pod,closed-form,-1,100,5,0.001,1164200,0.6370476353976658,0.6979644914027382,nan,0.23207692339544772,0.4251589775085449,0,4365,1521
linear_baseline,4p5d_10ms_yaw_0_0_0,,podlse,pod,closed-form,64,200,10,0.1,12800,0.5960503110459152,0.6523191059662777,0.5470766429517169,0.23207692339544772,1.4467649459838867,0,4365,1521
linear_baseline,4p5d_10ms_yaw_0_0_0,,epod,pod,closed-form,-1,200,10,0.1,2328400,0.5872656012688271,0.6536171630545098,nan,0.23207692339544772,0.5703392028808594,0,4365,1521
linear_baseline,4p5d_10ms_yaw_0_0_0,,podlse,pod,closed-form,64,500,25,0.1,32000,0.5692294322647644,0.6493455200127495,0.5432055907621606,0.23207692339544772,1.7178118228912354,0,4365,1521
linear_baseline,4p5d_10ms_yaw_0_0_0,,epod,pod,closed-form,-1,500,25,0.1,5821000,0.5518701680074825,0.6566001415745383,nan,0.23207692339544772,0.9533798694610596,0,4365,1521
linear_baseline,4p5d_10ms_yaw_0_0_0,,podlse,pod,closed-form,64,1000,50,1.0,64000,0.5965490064302001,0.6766669564303016,0.5787729857925581,0.23207692339544772,2.5547566413879395,0,4365,1521
linear_baseline,4p5d_10ms_yaw_0_0_0,,epod,pod,closed-form,-1,1000,50,1.0,11642000,0.579002639655955,0.6794772168426862,nan,0.23207692339544772,1.9147450923919678,0,4365,1521
linear_baseline,4p5d_10ms_yaw_0_0_0,,podlse,pod,closed-form,64,2000,100,1.0,128000,0.5643072423826709,0.695664255927212,0.6035039130172818,0.23207692339544772,7.1347057819366455,0,4365,1521
linear_baseline,4p5d_10ms_yaw_0_0_0,,epod,pod,closed-form,-1,2000,100,1.0,23284000,0.5324046581269849,0.7030964451622266,nan,0.23207692339544772,6.430389404296875,0,4365,1521
