tag,runs,test_run,model,latent,branch,r_field,r_sensor,n_delays,ridge,n_params,nmse_train,nmse_test,nmse_latent,cos_test,energy_test,floor_test,fit_seconds,seed,n_train,n_test
multirun,4p5d_10ms_yaw_0_0_0,,branched,pod,gru,64,-1,50,nan,19136,0.7064364863049456,0.7946765872203487,0.6580966277776445,,,,0.3966461498437189,8.584202289581299,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,branched,ae,linear,64,-1,1,nan,832,0.8517135780600804,0.9003813482217913,0.908471084167212,,,,0.4676650714137454,5.784401893615723,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,branched,ae,linear,64,-1,5,nan,3904,0.7343936366295953,0.7981729106873972,0.832172558110356,,,,0.4676650714137454,6.020963907241821,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,branched,ae,linear,64,-1,25,nan,19264,0.6947261396311738,0.7740150043924421,0.8133971080377965,,,,0.4676650714137454,4.820255994796753,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,branched,ae,linear,64,-1,50,nan,38464,0.685399219813561,0.7876819495582104,0.8391035034319181,,,,0.4676650714137454,4.205533504486084,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,branched,ae,mlp,64,-1,1,nan,26432,0.8382563742171617,0.9071782184620452,0.90655618029216,,,,0.4676650714137454,3.061490058898926,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,branched,ae,mlp,64,-1,5,nan,32576,0.7267893229818095,0.8081282719569903,0.8273153492438876,,,,0.4676650714137454,3.046396493911743,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,branched,ae,mlp,64,-1,25,nan,63296,0.6833967524967135,0.7791740575474095,0.8109891257189452,,,,0.4676650714137454,2.934863805770874,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,branched,ae,mlp,64,-1,50,nan,101696,0.7028231016145521,0.7983372785589415,0.8296611564413248,,,,0.4676650714137454,2.742396593093872,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,branched,ae,cnn,64,-1,1,nan,16416,0.8446613488144585,0.9035780669188375,0.9019800579118936,,,,0.4676650714137454,4.290890693664551,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,branched,ae,cnn,64,-1,5,nan,32800,0.7224961607859904,0.8027918918458105,0.8227963470440709,,,,0.4676650714137454,3.414123773574829,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,branched,ae,cnn,64,-1,25,nan,114720,0.7160053377300215,0.7875525438282494,0.8234479467024957,,,,0.4676650714137454,2.814866781234741,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,branched,ae,cnn,64,-1,50,nan,217120,0.7197688507475567,0.7959141750864455,0.8380325913996411,,,,0.4676650714137454,2.761030435562134,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,branched,ae,gru,64,-1,1,nan,19136,0.8471398945660014,0.903536328788748,0.902505392992167,,,,0.4676650714137454,3.7855443954467773,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,branched,ae,gru,64,-1,5,nan,19136,0.7374291541337585,0.8136753117217624,0.8302756397703385,,,,0.4676650714137454,3.547253370285034,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,branched,ae,gru,64,-1,25,nan,19136,0.7175369396770813,0.7878940633630667,0.8031415720730378,,,,0.4676650714137454,3.230790615081787,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,branched,ae,gru,64,-1,50,nan,19136,0.7252677458288721,0.7867189754914624,0.8064910268459652,,,,0.4676650714137454,3.1676361560821533,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,forecast,pod,gru/truth-initialised,64,-1,1,nan,0,nan,0.4562894696358574,nan,,,,nan,0.0,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,forecast,pod,gru/truth-initialised,64,-1,5,nan,0,nan,0.580179207094546,nan,,,,nan,0.0,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,forecast,pod,gru/truth-initialised,64,-1,10,nan,0,nan,0.6835327116395554,nan,,,,nan,0.0,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,forecast,pod,gru/truth-initialised,64,-1,25,nan,0,nan,0.9376539055452701,nan,,,,nan,0.0,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,forecast,pod,gru/truth-initialised,64,-1,50,nan,0,nan,1.179639001934427,nan,,,,nan,0.0,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,forecast,pod,gru/truth-initialised,64,-1,100,nan,0,nan,1.2291415954131288,nan,,,,nan,0.0,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,forecast,pod,gru/truth-initialised,64,-1,200,nan,0,nan,1.3810869453337065,nan,,,,nan,0.0,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,forecast,pod,gru/sensor-initialised,64,-1,1,nan,0,nan,0.7737009403598762,nan,,,,nan,0.0,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,forecast,pod,gru/sensor-initialised,64,-1,5,nan,0,nan,0.8295047173084293,nan,,,,nan,0.0,0,4415,1521
