stage,model,latent,branch,r_field,r_sensor,r_sensor_used,n_delays,channels,seed,n_params,nmse_train,nmse_test,nmse_latent,floor_test,fit_seconds,n_train,n_test,run,tag
A,branched,pod,linear,32,,-1,25,all,0,9632,0.7667555396448107,0.838929760364094,0.7642642990135896,0.3157447372899361,7.6843321323394775,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,pod,mlp,32,,-1,25,all,0,59168,0.7766425251671825,0.8369003621623489,0.7612997711206413,0.3157447372899361,3.9270808696746826,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,pod,cnn,32,,-1,25,all,0,63488,0.7645865602516657,0.8461396448245022,0.774796437836535,0.3157447372899361,4.092130661010742,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,pod,gru,32,,-1,25,all,0,17056,0.7630014588978936,0.8483533846631608,0.7780302504484665,0.3157447372899361,5.536032199859619,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,ae,linear,32,,-1,25,all,0,9632,0.772994956872379,0.8425141736069125,0.8508675115234379,0.3550071159177852,19.784713745117188,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,ae,mlp,32,,-1,25,all,0,59168,0.759204244630913,0.8345249309024156,0.8402970580098105,0.3550071159177852,3.9585072994232178,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,ae,cnn,32,,-1,25,all,0,63488,0.7977849208190066,0.8454183323768413,0.8536308488488769,0.3550071159177852,3.8578383922576904,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,ae,gru,32,,-1,25,all,0,17056,0.7812927562456657,0.8225186424296473,0.8207888854109506,0.3550071159177852,4.327050447463989,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,podlse,pod,closed-form,64,,300,25,all,0,19200,0.7257036264164348,0.8393245096514069,0.7905226669468159,0.23207692339544772,4.678207635879517,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,epod,pod,closed-form,64,,300,25,all,0,3492600,0.7128067497481447,0.8519235094143888,nan,0.23154603046073202,3.1853623390197754,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,pod,linear,64,,-1,25,all,0,19264,0.7641603640882979,0.840994656759071,0.7928424884440459,0.23154603046073202,8.240635633468628,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,pod,mlp,64,,-1,25,all,0,63296,0.7757054450855723,0.8350508414709101,0.785110074093488,0.23154603046073202,4.070052623748779,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,pod,cnn,64,,-1,25,all,0,114720,0.7608097090130409,0.8468226261834905,0.8004241968631751,0.23154603046073202,4.229941368103027,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,pod,gru,64,,-1,25,all,0,19136,0.75801266406956,0.8512135977913775,0.8061364894274052,0.23154603046073202,5.716745853424072,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,ae,linear,64,,-1,25,all,0,19264,0.7668185774035322,0.8394678909831831,0.8921199883825891,0.3072115188437,21.068575382232666,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,ae,mlp,64,,-1,25,all,0,63296,0.7579341544315233,0.8347459787737177,0.8788434799027467,0.3072115188437,3.9318912029266357,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,ae,cnn,64,,-1,25,all,0,114720,0.7922381512678579,0.8427057824648891,0.8909805144390306,0.3072115188437,3.8683295249938965,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,ae,gru,64,,-1,25,all,0,19136,0.7719783538769768,0.8280694461704802,0.8624716724755194,0.3072115188437,4.38209867477417,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,podlse,pod,closed-form,128,,300,25,all,0,38400,0.7214989564141635,0.8432252421440549,0.8114034769184008,0.16793552847303084,6.458273649215698,4365,1521,4p5d_10ms_yaw_0_0_0,main
