stage,model,latent,branch,r_field,r_sensor,r_sensor_used,ridge,n_delays,channels,seed,n_params,nmse_train,nmse_test,nmse_latent,cos_test,energy_test,floor_test,sensor_noise,weight_decay,lr,ensemble,nmse_fullband,epochs_run,train_loss,val_loss,stopped_early,n_fit,fit_seconds,n_train,n_test,run,tag
A,podlse,pod,closed-form,4,,300,0.0001,25,all,0,1200,0.6034948379378771,0.6691621140061336,0.2611429618773186,0.5796898694147465,0.5908220523812103,0.5511609363540422,0.0,0.0,0.001,1,0.7604767930684171,0,nan,nan,0,4365,8.958659887313843,4365,1521,4p5d_10ms_yaw_0_0_0,convA_band
A,epod,pod,closed-form,4,,300,0.0001,25,all,0,9444600,0.5394635875900408,0.6792370765741997,nan,0.5752989416721459,0.644870744146994,0.5511641734428337,0.0,0.0,0.001,1,0.7666791566417435,0,nan,nan,0,4365,12.833663702011108,4365,1521,4p5d_10ms_yaw_0_0_0,convA_band
A,branched,pod,linear,4,,-1,0.0001,25,all,0,1204,0.6257082638561832,0.6867097910371538,0.2999715882902231,0.5647181160469563,0.5647369018625709,0.5511641734428337,0.0,0.0,0.001,1,0.773213493138244,1016,0.24107884346824332,0.2638944387435913,1,3492,51.07941293716431,4365,1521,4p5d_10ms_yaw_0_0_0,convA_band
A,branched,pod,mlp,4,,-1,0.0001,25,all,0,55556,0.6113974253256,0.7181195978273335,0.36948360791847007,0.5343096414671163,0.5270047281549395,0.5511641734428337,0.0,0.0,0.001,1,0.7959710942922457,259,0.11583771977364539,0.3397442400455475,1,3492,15.638214826583862,4365,1521,4p5d_10ms_yaw_0_0_0,convA_band
A,branched,pod,cnn,4,,-1,0.0001,25,all,0,18660,0.6319425181919891,0.7184664140531266,0.3702511356035579,0.5345133446151726,0.555030378634502,0.5511641734428337,0.0,0.0,0.001,1,0.7963167005885835,220,0.16571353519290583,0.3459154963493347,1,3492,18.207913160324097,4365,1521,4p5d_10ms_yaw_0_0_0,convA_band
A,branched,pod,gru,4,,-1,0.0001,25,all,0,15236,0.6467314080466519,0.7358746000381801,0.40877662460031094,0.5193439092289599,0.5219077713785423,0.5511641734428337,0.0,0.0,0.001,1,0.8090224147675049,324,0.21912825771555186,0.39520904421806335,1,3492,21.444103956222534,4365,1521,4p5d_10ms_yaw_0_0_0,convA_band
A,branched,ae,linear,4,,-1,0.0001,25,all,0,1204,0.609502902917874,0.6710984759802259,0.41980058857348795,0.5768492001053518,0.5900599089479713,0.5595093078255724,0.0,0.0,0.001,1,0.7604700547693767,262,0.24950935381794304,0.2988664209842682,1,3492,28.21924924850464,4365,1521,4p5d_10ms_yaw_0_0_0,convA_band
A,branched,ae,mlp,4,,-1,0.0001,25,all,0,55556,0.6018151776271318,0.6793455331827115,0.42183030566334334,0.5700044406695229,0.5973299395658517,0.5595093078255724,0.0,0.0,0.001,1,0.7665734491025943,209,0.07714520900041923,0.36507469415664673,1,3492,15.123831272125244,4365,1521,4p5d_10ms_yaw_0_0_0,convA_band
A,branched,ae,cnn,4,,-1,0.0001,25,all,0,18660,0.6062243269954919,0.6808559618091723,0.4278733878465079,0.5696731937569794,0.6030574131029707,0.5595093078255724,0.0,0.0,0.001,1,0.7676587009104152,209,0.11496045445556083,0.3561187982559204,1,3492,15.993212223052979,4365,1521,4p5d_10ms_yaw_0_0_0,convA_band
A,branched,ae,gru,4,,-1,0.0001,25,all,0,15236,0.6127393616077865,0.6916540274602628,0.4237969499386582,0.5637905744254673,0.6443421678125593,0.5595093078255724,0.0,0.0,0.001,1,0.7753943449269161,210,0.1553159233562452,0.3464820384979248,1,3492,17.143234491348267,4365,1521,4p5d_10ms_yaw_0_0_0,convA_band
A,podlse,pod,closed-form,8,,300,0.0001,25,all,0,2400,0.5815629147134929,0.6597394116607249,0.3706692382975788,0.5880576380608369,0.6098043347914943,0.45777953378688,0.0,0.0,0.001,1,0.7534195488817955,0,nan,nan,0,4365,8.881539821624756,4365,1521,4p5d_10ms_yaw_0_0_0,convA_band
A,epod,pod,closed-form,8,,300,0.0001,25,all,0,9444600,0.5394635875900408,0.6792370765741997,nan,0.5752989416721459,0.644870744146994,0.4577799557992751,0.0,0.0,0.001,1,0.7666791566417435,0,nan,nan,0,4365,8.374547243118286,4365,1521,4p5d_10ms_yaw_0_0_0,convA_band
A,branched,pod,linear,8,,-1,0.0001,25,all,0,2408,0.6126465579105687,0.6796585307660812,0.407227480734904,0.5708805904979073,0.5741604176527868,0.4577799557992751,0.0,0.0,0.001,1,0.7680850345293921,985,0.32663110267255724,0.3546675741672516,1,3492,28.494271516799927,4365,1521,4p5d_10ms_yaw_0_0_0,convA_band
A,branched,pod,mlp,8,,-1,0.0001,25,all,0,56072,0.5887305755946713,0.7120261620979063,0.4666337977557664,0.539922073489472,0.5493395528018352,0.4577799557992751,0.0,0.0,0.001,1,0.7915479358181979,268,0.20211325587549023,0.426889568567276,1,3492,15.840999841690063,4365,1521,4p5d_10ms_yaw_0_0_0,convA_band
A,branched,pod,cnn,8,,-1,0.0001,25,all,0,25064,0.6134852133639177,0.7151855343174922,0.47243238912439356,0.5392160105356164,0.5858819763047854,0.4577799557992751,0.0,0.0,0.001,1,0.793933844098637,225,0.24051471653672837,0.42244330048561096,1,3492,15.643472671508789,4365,1521,4p5d_10ms_yaw_0_0_0,convA_band
A,branched,pod,gru,8,,-1,0.0001,25,all,0,15496,0.6285446224216341,0.7256079382482794,0.4915612721027116,0.5283217950153017,0.5358396776685624,0.4577799557992751,0.0,0.0,0.001,1,0.8014648396937663,331,0.29963264483766455,0.47633108496665955,1,3492,20.99771761894226,4365,1521,4p5d_10ms_yaw_0_0_0,convA_band
A,branched,ae,linear,8,,-1,0.0001,25,all,0,2408,0.5921753652308178,0.6674273318311345,0.558585310230511,0.5821873571542596,0.6183534173091891,0.47048177622810006,0.0,0.0,0.001,1,0.7573875156375534,323,0.3330640120672879,0.379042387008667,1,3492,31.154603719711304,4365,1521,4p5d_10ms_yaw_0_0_0,convA_band
A,branched,ae,mlp,8,,-1,0.0001,25,all,0,56072,0.5942485759795093,0.6831703807963524,0.5870186793217156,0.5693352454361807,0.620079603764346,0.47048177622810006,0.0,0.0,0.001,1,0.7691469540211094,209,0.16426108728023192,0.47933268547058105,1,3492,15.01052713394165,4365,1521,4p5d_10ms_yaw_0_0_0,convA_band
A,branched,ae,cnn,8,,-1,0.0001,25,all,0,25064,0.5995769860056067,0.6829111474532695,0.5862251748234395,0.5705258627828357,0.6190772440644935,0.47048177622810006,0.0,0.0,0.001,1,0.7689619587024279,208,0.1960712176964182,0.4846824109554291,1,3492,15.950373411178589,4365,1521,4p5d_10ms_yaw_0_0_0,convA_band
A,branched,ae,gru,8,,-1,0.0001,25,all,0,15496,0.6114528714335122,0.6909884767181993,0.576087243365311,0.5669691469398185,0.649088498587287,0.47048177622810006,0.0,0.0,0.001,1,0.7747703521465894,209,0.25795933986584074,0.4521566331386566,1,3492,17.097352981567383,4365,1521,4p5d_10ms_yaw_0_0_0,convA_band
A,podlse,pod,closed-form,16,,300,0.0001,25,all,0,4800,0.5672516218826334,0.6587256267066254,0.45253514630816494,0.5893919918300718,0.6216804373241104,0.3746424771064552,0.0,0.0,0.001,1,0.7522623457910665,0,nan,nan,0,4365,9.121628046035767,4365,1521,4p5d_10ms_yaw_0_0_0,convA_band
A,epod,pod,closed-form,16,,300,0.0001,25,all,0,9444600,0.5394635875900408,0.6792370765741997,nan,0.5752989416721459,0.644870744146994,0.3746765302148086,0.0,0.0,0.001,1,0.7666791566417435,0,nan,nan,0,4365,8.404444932937622,4365,1521,4p5d_10ms_yaw_0_0_0,convA_band
A,branched,pod,linear,16,,-1,0.0001,25,all,0,4816,0.6032779395077912,0.6779171294585287,0.48307874077715396,0.5723430971601166,0.5826228086681623,0.3746765302148086,0.0,0.0,0.001,1,0.7666036765674843,985,0.3923658131528966,0.4285493791103363,1,3492,28.507270336151123,4365,1521,4p5d_10ms_yaw_0_0_0,convA_band
A,branched,pod,mlp,16,,-1,0.0001,25,all,0,57104,0.5838644674214811,0.7072133912425251,0.5297492766070754,0.5440813930557268,0.5569725242604077,0.3746765302148086,0.0,0.0,0.001,1,0.7879704658065885,268,0.29059499150562396,0.47859904170036316,1,3492,15.866115093231201,4365,1521,4p5d_10ms_yaw_0_0_0,convA_band
A,branched,pod,cnn,16,,-1,0.0001,25,all,0,37872,0.6032749667712888,0.7105241048815555,0.5350234232081745,0.5433309859725081,0.588969801551261,0.3746765302148086,0.0,0.0,0.001,1,0.7903766973950417,225,0.30559698255884143,0.48486027121543884,1,3492,15.693775177001953,4365,1521,4p5d_10ms_yaw_0_0_0,convA_band
A,branched,pod,gru,16,,-1,0.0001,25,all,0,16016,0.6125582066093804,0.7250311266092391,0.5581338965620536,0.5290024944174108,0.5579570907737871,0.3746765302148086,0.0,0.0,0.001,1,0.8005737894037231,341,0.3611970192583156,0.5251191258430481,1,3492,21.48734974861145,4365,1521,4p5d_10ms_yaw_0_0_0,convA_band
A,branched,ae,linear,16,,-1,0.0001,25,all,0,4816,0.5889938884463021,0.6739623467306362,0.6247395148949819,0.5800502227121418,0.6512931598476864,0.4115791190695395,0.0,0.0,0.001,1,0.7619028989214952,319,0.4230329160837783,0.47299763560295105,1,3492,30.930076599121094,4365,1521,4p5d_10ms_yaw_0_0_0,convA_band
A,branched,ae,mlp,16,,-1,0.0001,25,all,0,57104,0.5882136830844493,0.6844023272081727,0.6319102998421171,0.5716320780912022,0.6498126874268825,0.4115791190695395,0.0,0.0,0.001,1,0.7698252600927922,209,0.26118076482589303,0.561500608921051,1,3492,15.069152593612671,4365,1521,4p5d_10ms_yaw_0_0_0,convA_band
A,branched,ae,cnn,16,,-1,0.0001,25,all,0,37872,0.5963393712565532,0.685388300345359,0.6361492947687541,0.5716538839696755,0.6512072195570129,0.4115791190695395,0.0,0.0,0.001,1,0.7705599754042206,208,0.28298802617489266,0.5716438293457031,1,3492,15.943132162094116,4365,1521,4p5d_10ms_yaw_0_0_0,convA_band
A,branched,ae,gru,16,,-1,0.0001,25,all,0,16016,0.611690912634106,0.7019070587389343,0.6363698398921682,0.5637292465257008,0.6839957686305252,0.4115791190695395,0.0,0.0,0.001,1,0.7824283398112213,209,0.350505115479265,0.5510035753250122,1,3492,17.11222243309021,4365,1521,4p5d_10ms_yaw_0_0_0,convA_band
