stage,model,latent,branch,r_field,r_sensor,r_sensor_used,ridge,n_delays,channels,seed,n_params,nmse_train,nmse_test,nmse_latent,cos_test,energy_test,floor_test,sensor_noise,weight_decay,lr,ensemble,nmse_fullband,epochs_run,train_loss,val_loss,stopped_early,n_fit,fit_seconds,n_train,n_test,run,tag
A,podlse,pod,closed-form,8,,300,0.0001,25,all,0,2400,0.6910972366180629,0.7535976505211077,0.37948535846283393,0.500419756445684,0.5191377014481443,0.6017459337127296,0.1,0.0,0.001,1,nan,0,nan,nan,0,4365,8.203816413879395,4365,1521,4p5d_10ms_yaw_0_0_0,convA_noise
A,epod,pod,closed-form,8,,300,0.0001,25,all,0,9444600,0.6447705350202287,0.779856768903682,nan,0.4803196015293632,0.5620968364128343,0.6017111009473041,0.1,0.0,0.001,1,nan,0,nan,nan,0,4365,7.662208318710327,4365,1521,4p5d_10ms_yaw_0_0_0,convA_noise
A,branched,pod,linear,8,,-1,0.0001,25,all,0,2408,0.7147402857777818,0.7685577660221695,0.4169183646337362,0.4852266865468528,0.4870393595889563,0.6017111009473041,0.1,0.0,0.001,1,nan,996,0.33683148951601466,0.3641831576824188,1,3492,29.00336718559265,4365,1521,4p5d_10ms_yaw_0_0_0,convA_noise
A,branched,pod,mlp,8,,-1,0.0001,25,all,0,56072,0.7019305276354554,0.7917358074072168,0.47483592088414756,0.4591215834867043,0.4586200898124919,0.6017111009473041,0.1,0.0,0.001,1,nan,265,0.22890874567651803,0.4311303198337555,1,3492,15.272159337997437,4365,1521,4p5d_10ms_yaw_0_0_0,convA_noise
A,branched,pod,cnn,8,,-1,0.0001,25,all,0,25064,0.7194080703457904,0.7925015941289647,0.4767494775473632,0.45946567026281676,0.4900865656863812,0.6017111009473041,0.1,0.0,0.001,1,nan,222,0.26815048218592746,0.42811745405197144,1,3492,15.053904056549072,4365,1521,4p5d_10ms_yaw_0_0_0,convA_noise
A,branched,pod,gru,8,,-1,0.0001,25,all,0,15496,0.7263310877158893,0.8046248497328491,0.5070432080102424,0.4456925869741092,0.4518284238820487,0.6017111009473041,0.1,0.0,0.001,1,nan,329,0.3141830771444589,0.473573237657547,1,3492,20.594996690750122,4365,1521,4p5d_10ms_yaw_0_0_0,convA_noise
A,branched,ae,linear,8,,-1,0.0001,25,all,0,2408,0.6993066252659357,0.760022707483128,0.5364982463061383,0.4946156822097341,0.5303328723339025,0.6071768617303561,0.1,0.0,0.001,1,nan,282,0.36056915185022737,0.40143370628356934,1,3492,29.275017499923706,4365,1521,4p5d_10ms_yaw_0_0_0,convA_noise
A,branched,ae,mlp,8,,-1,0.0001,25,all,0,56072,0.6949507917642987,0.7687090082378466,0.5457152246821774,0.48731790294267036,0.5394205629081296,0.6071768617303561,0.1,0.0,0.001,1,nan,209,0.18500371403642263,0.4820990264415741,1,3492,14.583972454071045,4365,1521,4p5d_10ms_yaw_0_0_0,convA_noise
A,branched,ae,cnn,8,,-1,0.0001,25,all,0,25064,0.6832536613771842,0.7744878357204069,0.552602295092037,0.48581077342796236,0.5696214416070158,0.6071768617303561,0.1,0.0,0.001,1,nan,216,0.19669757689533912,0.5092270374298096,1,3492,15.806186199188232,4365,1521,4p5d_10ms_yaw_0_0_0,convA_noise
A,branched,ae,gru,8,,-1,0.0001,25,all,0,15496,0.7092734369484689,0.7761782521774296,0.5381637015094776,0.48357180647627473,0.5528658517693329,0.6071768617303561,0.1,0.0,0.001,1,nan,210,0.2655092094430672,0.47542381286621094,1,3492,16.740148305892944,4365,1521,4p5d_10ms_yaw_0_0_0,convA_noise
A,podlse,pod,closed-form,16,,300,0.0001,25,all,0,4800,0.679737996830958,0.7526320707824911,0.4714860435390074,0.5018100398547337,0.5298908576004556,0.530397236226799,0.1,0.0,0.001,1,nan,0,nan,nan,0,4365,8.414706707000732,4365,1521,4p5d_10ms_yaw_0_0_0,convA_noise
