branch,cos_test,energy_test,epochs,epochs_run,frac,gap,label,lr,n_delays,n_fit,n_params,n_train,nmse_test,nmse_train,seconds,section,seed,stopped_early,train_loss,val_fraction
linear,0.4987879402956979,0.5120571420996349,1600,1600,,0.0044811155181284645,linear lr0.003,0.003,,4440,4816,,0.7556770398579926,0.6911167660153464,46.190945625305176,lr,0,0,0.3893174175743584,0.0
linear,0.5008035870954674,0.5194195018186476,1600,1600,,0.002499194484957168,linear lr0.01,0.01,,4440,4816,,0.7536951188248213,0.6870973009378083,46.17403960227966,lr,0,0,0.381876983191516,0.0
,,,,,0.125,,,,10,,1920,555,0.8271522423085356,0.6341128638302274,,learning_curve,,,,
,,,,,0.25,,,,10,,1920,1110,0.7784539825678337,0.688022503097063,,learning_curve,,,,
,,,,,0.5,,,,10,,1920,2220,0.7633680105513865,0.687500315337734,,learning_curve,,,,
,,,,,0.75,,,,10,,1920,3330,0.7574529425605291,0.6930026177776465,,learning_curve,,,,
,,,,,1.0,,,,10,,1920,4440,0.7553679686339926,0.6965021717777237,,learning_curve,,,,
,,,,,0.125,,,,25,,4800,555,0.9104936697204937,0.5776710428150864,,learning_curve,,,,
,,,,,0.25,,,,25,,4800,1110,0.7925754353078351,0.6544624663264207,,learning_curve,,,,
,,,,,0.5,,,,25,,4800,2220,0.7689470611901267,0.6678401572687621,,learning_curve,,,,
,,,,,0.75,,,,25,,4800,3330,0.755349773597494,0.6776674210965616,,learning_curve,,,,
,,,,,1.0,,,,25,,4800,4440,0.7511959243398642,0.6826354621959196,,learning_curve,,,,
,,,,,0.125,,,,50,,8864,555,1.2894517536225596,0.5009407152052969,,learning_curve,,,,
,,,,,0.25,,,,50,,9600,1110,0.854328166186475,0.6124250139316678,,learning_curve,,,,
,,,,,0.5,,,,50,,9600,2220,0.7963568225783278,0.6444297368068137,,learning_curve,,,,
,,,,,0.75,,,,50,,9600,3330,0.7678664815645282,0.662221805592857,,learning_curve,,,,
,,,,,1.0,,,,50,,9600,4440,0.757470684776703,0.6697344907200962,,learning_curve,,,,
,,,,,0.125,,,,100,,8864,555,1.659969947490799,0.46779556413652207,,learning_curve,,,,
,,,,,0.25,,,,100,,17744,1110,1.1283925132366028,0.5395781810979293,,learning_curve,,,,
,,,,,0.5,,,,100,,19200,2220,0.8709161428161681,0.6053627136192898,,learning_curve,,,,
,,,,,0.75,,,,100,,19200,3330,0.8144359035259058,0.6324011931398201,,learning_curve,,,,
,,,,,1.0,,,,100,,19200,4440,0.7852304511296868,0.6470145987915847,,learning_curve,,,,
linear,0.49159856189044043,0.49866133550998437,800,800,,,pod+linear,0.001,,4440,4816,,0.762734000857068,0.7020067941810475,25.965582370758057,performance,0,0,0.4104707614795582,0.0
mlp,0.40486499117552077,0.6639770011987918,800,800,,,pod+mlp,0.001,,4440,57104,,0.9069014414638464,0.5229723319825949,34.596582651138306,performance,0,0,0.05729465694040865,0.0
cnn,0.3686189256885958,0.6407027735644306,800,800,,,pod+cnn,0.001,,4440,37872,,0.9407454827873775,0.5062325853245243,40.953956604003906,performance,0,0,0.023513127323072237,0.0
gru,0.42191611899267933,0.6254593942424906,800,800,,,pod+gru,0.001,,4440,16016,,0.866715419655386,0.5913834840185376,44.863179206848145,performance,0,0,0.19216487928553744,0.0
linear,0.5006500091860858,0.5663935629383556,800,800,,,ae+linear,0.001,,4440,4816,,0.7574876924578801,0.6837876627886579,26.693686723709106,performance,0,0,0.4384449677961367,0.0
mlp,0.3862296130786607,0.7056287853862478,800,800,,,ae+mlp,0.001,,4440,57104,,0.9565185227472353,0.5028079951484429,35.0657103061676,performance,0,0,0.04832091822817519,0.0
cnn,0.354181856784409,0.7241394997088637,800,800,,,ae+cnn,0.001,,4440,37872,,1.0187354449104307,0.4968789906721422,39.61775994300842,performance,0,0,0.05265564567468188,0.0
gru,0.3756466151613385,0.6890119504061532,800,800,,,ae+gru,0.001,,4440,16016,,0.9604453251562736,0.508923954311554,44.92471098899841,performance,0,0,0.08714298486441105,0.0
