dataset,model,backend,n_latent,hidden,seed,train_mse,train_rel_error,test_mse,test_rel_error,gen_gap,fit_time_s,n_params,n_epochs_run,n_x,split_mode,gap,n_train,n_val,n_test,nn_dist_median,nn_dist_min
circle,CAE,torch,32,256-64,0,3.3093658657890046e-06,9.694345435314198e-05,0.00011853573232656345,0.0033035549061603622,34.077132161252436,36.01130270957947,400450.0,600.0,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,CAEJax,jax,32,256-64,0,2.187656264140969e-06,6.408446928624866e-05,0.00011855300544993952,0.003304036302869639,51.55751993687219,269.09497809410095,400450.0,600.0,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,POD,numpy,64,512-128,0,7.367895762900797e-14,2.1583266871557845e-12,2.470350182193215e-07,6.884791028105626e-06,3189874.3916187757,0.04677915573120117,537600.0,nan,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,AE,torch,64,512-128,0,1.4753418327018153e-06,4.321816910373853e-05,0.0017217322019860148,0.047984154240472504,1110.2773494474966,80.5571961402893,8758800.0,465.0,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,AEJax,jax,64,512-128,0,6.21200399564259e-07,1.819723627473676e-05,0.002581953536719084,0.07195826192061217,3954.351135205728,201.05183482170105,8758800.0,584.0,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,CAE,torch,64,512-128,0,4.197866928734584e-06,0.00012297090666018605,0.00016666200826875865,0.004644819619201138,37.771695316815766,40.19215798377991,748642.0,600.0,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,CAEJax,jax,64,512-128,0,3.086165634158533e-06,9.04051015858149e-05,0.00018444331362843513,0.005140379206221389,56.85939306579957,281.16445207595825,748642.0,600.0,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,POD,numpy,128,1024-256,0,9.815983610791598e-14,2.8754613351796626e-12,1.385121350949703e-07,3.860291192153822e-06,1342494.5572821018,0.06882524490356445,1075200.0,nan,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,AE,torch,128,1024-256,0,4.4365700091475446e-07,1.299633946830995e-05,0.002152740489691496,0.059996224487126194,4616.3940726094415,178.27884101867676,17804112.0,600.0,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,AEJax,jax,128,1024-256,0,1.474209767593493e-07,4.318500676793034e-06,0.0030732774175703526,0.08565130945355616,19833.57555408831,281.18290400505066,17804112.0,600.0,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,CAE,torch,128,1024-256,0,3.6699414067697944e-06,0.0001075060333835499,0.00015557945880573243,0.004335952327180869,40.332176629673114,46.80274677276611,1445026.0,600.0,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,CAEJax,jax,128,1024-256,0,2.221955810455256e-06,6.50892286985658e-05,0.00015756067296024412,0.0043911681647332106,67.46382239477924,343.4217789173126,1445026.0,600.0,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,POD,numpy,256,2048-512,0,9.949644054615611e-14,2.914615377555647e-12,8.318337307855472e-08,2.3182953768535945e-06,795403.5358167368,0.13326311111450195,2150400.0,nan,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,AE,torch,256,2048-512,0,1.3243193563994282e-07,3.879416730657599e-06,0.0030635567381978035,0.08538039706788053,22008.56546118151,526.3682818412781,36779472.0,600.0,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,AEJax,jax,256,2048-512,0,8.974422627261447e-08,2.628937281627217e-06,0.0037011606618762016,0.10315022502534313,39236.472374683995,637.9152569770813,36779472.0,600.0,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,CAE,torch,256,2048-512,0,3.3237824936804827e-06,9.736577021805484e-05,0.00015499512664973736,0.004319667167230562,44.365357122492654,82.72406601905823,2837794.0,600.0,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
circle,CAEJax,jax,256,2048-512,0,1.8886559018937987e-06,5.532565290129428e-05,0.00013518845662474632,0.0037676612813134485,68.09971656430842,447.4652862548828,2837794.0,600.0,8400,phase2,0,481,159,160,0.39484351873397827,0.23576457798480988
