stage,model,latent,branch,r_field,r_sensor,r_sensor_used,ridge,n_delays,channels,seed,n_params,nmse_train,nmse_test,nmse_latent,cos_test,energy_test,floor_test,sensor_noise,weight_decay,lr,ensemble,nmse_fullband,epochs_run,train_loss,val_loss,stopped_early,n_fit,fit_seconds,n_train,n_test,run,tag
A,podlse,pod,closed-form,4,,300,0.0001,25,all,0,1200,0.6034948379378771,0.6691621140061336,0.2611429618773186,0.5796898694147465,0.5908220523812103,0.5511609363540422,0.1,0.0,0.001,1,0.7604767930684171,0,nan,nan,0,4365,9.075955390930176,4365,1521,4p5d_10ms_yaw_0_0_0,convA_both
A,epod,pod,closed-form,4,,300,0.0001,25,all,0,9444600,0.5394635875900408,0.6792370765741997,nan,0.5752989416721459,0.644870744146994,0.5511641734428337,0.1,0.0,0.001,1,0.7666791566417435,0,nan,nan,0,4365,12.920417785644531,4365,1521,4p5d_10ms_yaw_0_0_0,convA_both
A,branched,pod,linear,4,,-1,0.0001,25,all,0,1204,0.6274990302935424,0.6884839689992915,0.30389796371023003,0.5631421255513298,0.5616360736101761,0.5511641734428337,0.1,0.0,0.001,1,0.7745006576243453,1044,0.24737058216353872,0.267010360956192,1,3492,58.60952806472778,4365,1521,4p5d_10ms_yaw_0_0_0,convA_both
A,branched,pod,mlp,4,,-1,0.0001,25,all,0,55556,0.6039538870075652,0.7202307609463201,0.37415575420532066,0.5321221387674048,0.5385110044782525,0.5511641734428337,0.1,0.0,0.001,1,0.7975824263931511,265,0.11496321550588565,0.3470403552055359,1,3492,16.477885723114014,4365,1521,4p5d_10ms_yaw_0_0_0,convA_both
A,branched,pod,cnn,4,,-1,0.0001,25,all,0,18660,0.6288035092515271,0.7168203738118244,0.3666083375969793,0.5366962329054387,0.5701459039912964,0.5511641734428337,0.1,0.0,0.001,1,0.7951134690439375,222,0.16775638868718623,0.3486574590206146,1,3492,18.6590359210968,4365,1521,4p5d_10ms_yaw_0_0_0,convA_both
A,branched,pod,gru,4,,-1,0.0001,25,all,0,15236,0.6293342588024267,0.7251147894047322,0.38496443839538685,0.5286256943786252,0.5406135785608343,0.5511641734428337,0.1,0.0,0.001,1,0.8010691497026526,336,0.19194725806155974,0.3794172406196594,1,3492,22.843605756759644,4365,1521,4p5d_10ms_yaw_0_0_0,convA_both
A,branched,ae,linear,4,,-1,0.0001,25,all,0,1204,0.6098519057407029,0.6701331110785136,0.4136371978808277,0.5775626608461809,0.5789933066160512,0.5595093078255724,0.1,0.0,0.001,1,0.7597913145678724,284,0.25581452315342523,0.2976296544075012,1,3492,29.890557765960693,4365,1521,4p5d_10ms_yaw_0_0_0,convA_both
A,branched,ae,mlp,4,,-1,0.0001,25,all,0,55556,0.5879421248291412,0.6828801155036388,0.42278639058998546,0.5676455339266726,0.6045060347457043,0.5595093078255724,0.1,0.0,0.001,1,0.7689922421063707,215,0.07492510287383441,0.37932366132736206,1,3492,15.963526248931885,4365,1521,4p5d_10ms_yaw_0_0_0,convA_both
A,branched,ae,cnn,4,,-1,0.0001,25,all,0,18660,0.5924796769251175,0.6891110559704906,0.4417969645414389,0.5627172545475467,0.6070176654476191,0.5595093078255724,0.1,0.0,0.001,1,0.7736164663535121,215,0.10984455922966288,0.3611014485359192,1,3492,16.79321312904358,4365,1521,4p5d_10ms_yaw_0_0_0,convA_both
A,branched,ae,gru,4,,-1,0.0001,25,all,0,15236,0.6113264851795945,0.6867922606688827,0.4155136529942226,0.5659636152560529,0.6258632441241284,0.5595093078255724,0.1,0.0,0.001,1,0.7719534786739145,210,0.16209243741505197,0.34141382575035095,1,3492,17.3794846534729,4365,1521,4p5d_10ms_yaw_0_0_0,convA_both
A,podlse,pod,closed-form,8,,300,0.0001,25,all,0,2400,0.5815629147134929,0.6597394116607249,0.3706692382975788,0.5880576380608369,0.6098043347914943,0.45777953378688,0.1,0.0,0.001,1,0.7534195488817955,0,nan,nan,0,4365,8.853594064712524,4365,1521,4p5d_10ms_yaw_0_0_0,convA_both
A,epod,pod,closed-form,8,,300,0.0001,25,all,0,9444600,0.5394635875900408,0.6792370765741997,nan,0.5752989416721459,0.644870744146994,0.4577799557992751,0.1,0.0,0.001,1,0.7666791566417435,0,nan,nan,0,4365,8.445442914962769,4365,1521,4p5d_10ms_yaw_0_0_0,convA_both
A,branched,pod,linear,8,,-1,0.0001,25,all,0,2408,0.6127867497003208,0.6797637670793022,0.40742062745364954,0.5707775477628724,0.5728632651057576,0.4577799557992751,0.1,0.0,0.001,1,0.7681610953065183,972,0.3288632737811898,0.3548890948295593,1,3492,29.869361639022827,4365,1521,4p5d_10ms_yaw_0_0_0,convA_both
A,branched,pod,mlp,8,,-1,0.0001,25,all,0,56072,0.6045856144899943,0.7100651937986293,0.46303471127148077,0.5420813243567684,0.5229682322562723,0.4577799557992751,0.1,0.0,0.001,1,0.7902814059774236,260,0.23478170213762153,0.41708388924598694,1,3492,16.190553903579712,4365,1521,4p5d_10ms_yaw_0_0_0,convA_both
A,branched,pod,cnn,8,,-1,0.0001,25,all,0,25064,0.6182940909816319,0.7129016624802025,0.4682406577922449,0.5404293997474385,0.5748515055761836,0.4577799557992751,0.1,0.0,0.001,1,0.7923123344180436,222,0.2574999236842065,0.4207961857318878,1,3492,15.983108520507812,4365,1521,4p5d_10ms_yaw_0_0_0,convA_both
A,branched,pod,gru,8,,-1,0.0001,25,all,0,15496,0.6068778226135007,0.73157102824753,0.5025057002348718,0.5229339806170391,0.5621287362750448,0.4577799557992751,0.1,0.0,0.001,1,0.8059207345052404,353,0.26605652808665137,0.4682435691356659,1,3492,22.73719882965088,4365,1521,4p5d_10ms_yaw_0_0_0,convA_both
A,branched,ae,linear,8,,-1,0.0001,25,all,0,2408,0.5941818870147622,0.6682597850340771,0.5609461563871123,0.5812010588344502,0.6102640832389472,0.47048177622810006,0.1,0.0,0.001,1,0.7580618812847442,338,0.34482549559346315,0.37950384616851807,1,3492,32.697911739349365,4365,1521,4p5d_10ms_yaw_0_0_0,convA_both
A,branched,ae,mlp,8,,-1,0.0001,25,all,0,56072,0.591656167669282,0.6780505839480664,0.5744068125715982,0.5743015790470305,0.627377056075192,0.47048177622810006,0.1,0.0,0.001,1,0.7652742669774995,209,0.17392807859257461,0.4733998775482178,1,3492,15.54684066772461,4365,1521,4p5d_10ms_yaw_0_0_0,convA_both
A,branched,ae,cnn,8,,-1,0.0001,25,all,0,25064,0.6061181862733126,0.683693654501689,0.5871554566822016,0.567632240318633,0.6058784506371938,0.47048177622810006,0.1,0.0,0.001,1,0.7695261065646404,207,0.2147144584960271,0.4655035138130188,1,3492,16.457283973693848,4365,1521,4p5d_10ms_yaw_0_0_0,convA_both
A,branched,ae,gru,8,,-1,0.0001,25,all,0,15496,0.6100810013386628,0.6902412888489684,0.5736146899505506,0.5688439241335512,0.6499802202394204,0.47048177622810006,0.1,0.0,0.001,1,0.7741932225718745,210,0.25970823890428224,0.4531850218772888,1,3492,17.943678617477417,4365,1521,4p5d_10ms_yaw_0_0_0,convA_both
A,podlse,pod,closed-form,16,,300,0.0001,25,all,0,4800,0.5672516218826334,0.6587256267066254,0.45253514630816494,0.5893919918300718,0.6216804373241104,0.3746424771064552,0.1,0.0,0.001,1,0.7522623457910665,0,nan,nan,0,4365,9.383840084075928,4365,1521,4p5d_10ms_yaw_0_0_0,convA_both
