dataset,model,backend,n_latent,seed,train_mse,train_rel_error,test_mse,test_rel_error,gen_gap,fit_time_s,n_params,n_epochs_run,n_x,gap,n_train,n_val,n_test
circle,POD,numpy,8,0,1.042480107571464e-05,0.0003024345354691995,1.0442028724355623e-05,0.00030296006327090773,1.0017376580385997,0.015748977661132812,67200.0,nan,8400,8,464,160,160
circle,AE,torch,8,0,2.079394647580557e-07,6.032544407616473e-06,2.061455859347916e-07,5.981010147209381e-06,0.9914572928229046,81.02455496788025,8744408.0,600.0,8400,8,464,160,160
circle,AEJax,jax,8,0,2.0855162574662245e-07,6.050303847136221e-06,2.0650075782668864e-07,5.991314935836345e-06,0.9902502563854215,71.3800892829895,8744408.0,600.0,8400,8,464,160,160
circle,CAE,torch,8,0,6.051922810001997e-06,0.00017557269922418496,6.0514134929690044e-06,0.00017557283772186226,1.0000007888337874,32.394694805145264,139306.0,600.0,8400,8,464,160,160
circle,CAEJax,jax,8,0,5.6415651670249645e-06,0.00016366778878717822,5.643188160320278e-06,0.00016372878175603485,1.0003726632424657,187.63439011573792,139306.0,600.0,8400,8,464,160,160
circle,POD,numpy,16,0,4.1277484541524245e-08,1.1975036043358902e-06,4.134774655994988e-08,1.199643885741647e-06,1.0017872859822778,0.021673917770385742,134400.0,nan,8400,8,464,160,160
circle,AE,torch,16,0,2.248972492679968e-07,6.524507721218527e-06,2.2551714096152864e-07,6.543047246654182e-06,1.0028415209587938,80.37046909332275,8746464.0,600.0,8400,8,464,160,160
circle,AEJax,jax,16,0,2.499328104477172e-07,7.250815903082843e-06,2.48427198812351e-07,7.207748786866963e-06,0.994060376543615,70.34405708312988,8746464.0,600.0,8400,8,464,160,160
circle,CAE,torch,16,0,3.4790075460477965e-06,0.00010092969865237228,3.4779579891619505e-06,0.00010090782167572387,0.9997832453981285,32.45309519767761,226354.0,600.0,8400,8,464,160,160
circle,CAEJax,jax,16,0,3.859704975184286e-06,0.00011197413482904243,3.85768089472549e-06,0.00011192492175577005,0.9995604960614564,191.2247838973999,226354.0,600.0,8400,8,464,160,160
circle,POD,numpy,32,0,3.424768931989397e-12,9.935617893452761e-11,2.2777222816183773e-12,6.608475275911899e-11,0.665129773183675,0.03331565856933594,268800.0,nan,8400,8,464,160,160
circle,AE,torch,32,0,1.665674886908164e-07,4.832299503904427e-06,1.621801004603185e-07,4.705416427569953e-06,0.9737427127122492,84.62620711326599,8750576.0,600.0,8400,8,464,160,160
circle,AEJax,jax,32,0,2.628435424867348e-07,7.62536993230876e-06,2.6254397766933835e-07,7.617326305622374e-06,0.9989451493163231,74.0017762184143,8750576.0,600.0,8400,8,464,160,160
circle,CAE,torch,32,0,3.731751348823309e-06,0.00010826206442414708,3.73021543964569e-06,0.00010822669956588478,0.9996733402558837,33.70165014266968,400450.0,600.0,8400,8,464,160,160
circle,CAEJax,jax,32,0,3.962119535572128e-06,0.00011494528984401293,3.9624151213502046e-06,0.00011496363087661774,1.0001595631506928,198.08008408546448,400450.0,600.0,8400,8,464,160,160
circle,POD,numpy,64,0,9.518468370266209e-14,2.761408624521296e-12,8.325574252362675e-14,2.4155425816625383e-12,0.874750140277151,0.04359698295593262,537600.0,nan,8400,8,464,160,160
circle,AE,torch,64,0,1.672751466230693e-07,4.852829411041991e-06,1.6316344897404633e-07,4.733946834428676e-06,0.9755024200226752,84.17415809631348,8758800.0,600.0,8400,8,464,160,160
circle,AEJax,jax,64,0,1.4927596225788875e-07,4.330653983158856e-06,1.467411152589193e-07,4.2574770417545636e-06,0.9831025656427724,73.28943204879761,8758800.0,600.0,8400,8,464,160,160
circle,CAE,torch,64,0,3.678132088680286e-06,0.00010670651282025752,3.687087883008644e-06,0.0001069754171156648,1.0025200363904707,36.805887937545776,748642.0,600.0,8400,8,464,160,160
circle,CAEJax,jax,64,0,3.958240085921716e-06,0.00011483274289521484,3.960462436225498e-06,0.00011490697659759346,1.0006464506595159,187.25329685211182,748642.0,600.0,8400,8,464,160,160
circle,POD,numpy,128,0,8.766516565407098e-14,2.5432594309337323e-12,8.539831575183829e-14,2.477706183958277e-12,0.9742247109444953,0.07419180870056152,1075200.0,nan,8400,8,464,160,160
circle,AE,torch,128,0,1.8172480054090556e-07,5.272029196111457e-06,1.7922269535119995e-07,5.1998821834818155e-06,0.9863151340886246,84.97597813606262,8775248.0,600.0,8400,8,464,160,160
circle,AEJax,jax,128,0,1.6363290455956303e-07,4.747164105916024e-06,1.6057337859365362e-07,4.658799762242441e-06,0.9813858670772595,73.94481086730957,8775248.0,600.0,8400,8,464,160,160
circle,CAE,torch,128,0,3.981247118645115e-06,0.00011550020131515873,3.983458555012476e-06,0.00011557417506894396,1.0006404642844162,43.46501302719116,1445026.0,600.0,8400,8,464,160,160
circle,CAEJax,jax,128,0,3.4020390557998326e-06,9.8696761119575e-05,3.4079916986229364e-06,9.887785294377723e-05,1.0018348304660456,196.0348711013794,1445026.0,600.0,8400,8,464,160,160
circle,POD,numpy,256,0,1.146544068453964e-13,3.326245941955012e-12,1.1430649992077296e-13,3.3164345131037187e-12,0.9970502996403426,0.11223983764648438,2150400.0,nan,8400,8,464,160,160
circle,AE,torch,256,0,1.178958513037287e-07,3.4202836834797577e-06,1.1453204251665738e-07,3.322978298887419e-06,0.97155049300082,83.89818716049194,8808144.0,600.0,8400,8,464,160,160
circle,AEJax,jax,256,0,1.6196011642932717e-07,4.69863474814393e-06,1.604893355988679e-07,4.656361378697454e-06,0.9910030526498841,74.76302695274353,8808144.0,600.0,8400,8,464,160,160
circle,CAE,torch,256,0,3.0566695841116598e-06,8.86772264563589e-05,3.064607653868734e-06,8.89150713166492e-05,1.0026821413997127,56.84930872917175,2837794.0,600.0,8400,8,464,160,160
circle,CAEJax,jax,256,0,2.8644572012126446e-06,8.310094137319183e-05,2.8690242288575973e-06,8.324050669129941e-05,1.0016794673538152,205.58861804008484,2837794.0,600.0,8400,8,464,160,160
