stage,model,latent,branch,r_field,r_sensor,r_sensor_used,ridge,n_delays,channels,seed,n_params,nmse_train,nmse_test,nmse_latent,cos_test,energy_test,floor_test,fit_seconds,n_train,n_test,run,tag
A,branched,pod,cnn,64,,-1,0.0001,25,all,0,114720,0.6977408689920572,0.7873949364820533,0.6464572588769594,0.4657330247397902,0.5064525430946428,0.39596951628920496,9.948214530944824,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,pod,gru,64,,-1,0.0001,25,all,0,19136,0.7005843543976914,0.8019678734685802,0.6705251410636998,0.45110205474086246,0.49334646832412893,0.39596951628920496,15.562316417694092,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,ae,linear,64,,-1,0.0001,25,all,0,19264,0.6965642093207774,0.7754896300401074,0.8139729772262935,0.4890425848583573,0.5843061858394841,0.46797302272275026,37.709222078323364,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,ae,mlp,64,,-1,0.0001,25,all,0,63296,0.6997347569772262,0.7827467026466601,0.8071660841988625,0.4858965724556215,0.6028175828283672,0.46797302272275026,10.351699590682983,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,ae,cnn,64,,-1,0.0001,25,all,0,114720,0.6987285332863901,0.7833293367108762,0.8236741292324659,0.4803488421078528,0.5652241415214547,0.46797302272275026,10.23227858543396,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,ae,gru,64,,-1,0.0001,25,all,0,19136,0.7211065044012817,0.791015459726744,0.8026437610295769,0.4831448106510253,0.6210875663969352,0.46797302272275026,10.489410638809204,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,podlse,pod,closed-form,128,,300,0.0001,25,all,0,38400,0.6624096701403245,0.7629739148135591,0.6401263258992841,0.49352788526438174,0.5462558488207941,0.33900196263770743,11.236114740371704,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,epod,pod,closed-form,128,,300,0.0001,25,all,0,9444600,0.6447705350202287,0.779856768903682,nan,0.4803196015293632,0.5620968364128343,0.33900196263770743,7.8368377685546875,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,pod,linear,128,,-1,0.0001,25,all,0,38528,0.7084928267020277,0.7783586690820004,0.6633547167732067,0.475263434355526,0.48987176301643987,0.33900196263770743,16.484043836593628,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,pod,mlp,128,,-1,0.0001,25,all,0,71552,0.6831359256457722,0.7853620684875924,0.6739286717419248,0.4658644440112761,0.47727209812460614,0.33900196263770743,11.307242631912231,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,pod,cnn,128,,-1,0.0001,25,all,0,217184,0.694552625097088,0.7882563570707077,0.6782985606161619,0.4651582511851581,0.5091691445468469,0.33900196263770743,10.193870544433594,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,pod,gru,128,,-1,0.0001,25,all,0,23296,0.691772338911634,0.8012728744331704,0.697951312154267,0.4526738948333268,0.5125423450464862,0.33900196263770743,16.761690139770508,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,ae,linear,128,,-1,0.0001,25,all,0,38528,0.7047992638793094,0.7875686383098811,0.8364390072664528,0.4865604553549421,0.6264067349284144,0.45962733639777986,44.95315384864807,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,ae,mlp,128,,-1,0.0001,25,all,0,71552,0.7125767996093814,0.7890890991251931,0.8221861024286732,0.48783040904988884,0.6353984228556707,0.45962733639777986,9.875490665435791,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,ae,cnn,128,,-1,0.0001,25,all,0,217184,0.7285018112252819,0.7990410400599336,0.8399787719609436,0.47711117520348667,0.6240146650388515,0.45962733639777986,10.055591821670532,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
A,branched,ae,gru,128,,-1,0.0001,25,all,0,23296,0.7350006770958035,0.8097522696458681,0.8254036974141984,0.4801891049916808,0.6686199566757648,0.45962733639777986,10.471674919128418,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,podlse,pod,closed-form,64,,12,0.0001,1,all,0,768,0.8411699482864314,0.8851283081468986,0.8076813267376353,0.34712026790259726,0.3882382723653319,0.39655234855889326,9.787797451019287,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
