stage,model,latent,branch,r_field,r_sensor,r_sensor_used,ridge,n_delays,channels,seed,n_params,nmse_train,nmse_test,nmse_latent,cos_test,energy_test,floor_test,sensor_noise,nmse_fullband,epochs_run,train_loss,val_loss,stopped_early,n_fit,fit_seconds,n_train,n_test,run,tag
A,branched,pod,cnn,16,,-1,0.0001,25,all,0,37872,0.606605966795561,0.7063860290963346,0.5284313127000434,0.5458512554285282,0.5666767428413844,0.37467643887292423,0.0,0.7874459001108494,209,0.21002127907803242,0.5099462270736694,1,3492,14.779093980789185,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,pod,gru,16,,-1,0.0001,25,all,0,16016,0.6163915365112841,0.7142907252406832,0.5410239210634006,0.5381766946150235,0.5484932430231222,0.37467643887292423,0.0,0.7928285121194261,248,0.3321274260884708,0.5485654473304749,1,3492,17.301398277282715,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,ae,linear,16,,-1,0.0001,25,all,0,4816,0.5870831664856114,0.671929249358665,0.6219572715929956,0.5812553436876076,0.6478145340454636,0.4115791190695395,0.0,0.7603857858710588,335,0.4216151116981266,0.4722740650177002,1,3492,30.497389316558838,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,ae,mlp,16,,-1,0.0001,25,all,0,57104,0.5866654275352454,0.7017087838657333,0.6462128860640518,0.5645741524756069,0.686004254467669,0.4115791190695395,0.0,0.7821607973438267,206,0.14664710663847907,0.6701128482818604,1,3492,14.783012628555298,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,ae,cnn,16,,-1,0.0001,25,all,0,37872,0.5953753931452004,0.6874217846986375,0.6264099664746962,0.5711316157238608,0.6626402192987066,0.4115791190695395,0.0,0.7715995956756576,206,0.23415733609275993,0.6427474021911621,1,3492,15.875993251800537,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,ae,gru,16,,-1,0.0001,25,all,0,16016,0.6120628187295115,0.6978874345269216,0.6329901320178694,0.5659199205969255,0.675767128335338,0.4115791190695395,0.0,0.7794653276043709,204,0.19361083455306968,0.6979154944419861,1,3492,16.91254758834839,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,podlse,pod,closed-form,32,,300,0.0001,25,all,0,9600,0.5593609523353554,0.6620973887404886,0.5135471303057825,0.5870872671923528,0.6281838024721808,0.30311281682962254,0.0,0.7544762777373452,0,nan,nan,0,4365,9.332383394241333,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,epod,pod,closed-form,32,,300,0.0001,25,all,0,9444600,0.5394635875900408,0.6792370765741997,nan,0.5752989416721459,0.644870744146994,0.30294803272768983,0.0,0.7666791566417435,0,nan,nan,0,4365,8.301851987838745,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,pod,linear,32,,-1,0.0001,25,all,0,9632,0.595347569473526,0.6771262670436355,0.5351567716989228,0.5733036006774012,0.5917675315592376,0.30294803272768983,0.0,0.7658583292878464,558,0.43834444139694706,0.48368605971336365,1,3492,19.903900146484375,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,pod,mlp,32,,-1,0.0001,25,all,0,59168,0.5707827298186507,0.7032278584917119,0.5724877603415228,0.5486647644446441,0.5840234342933321,0.30294803272768983,0.0,0.784877041321885,230,0.29308710441010377,0.5443885922431946,1,3492,14.86755084991455,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,pod,cnn,32,,-1,0.0001,25,all,0,63488,0.6001720648948068,0.7055903814561504,0.5758666852675673,0.5469159644130148,0.570000510975937,0.30294803272768983,0.0,0.7866862392114498,209,0.2550636314171423,0.5568804144859314,1,3492,15.251053094863892,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,pod,gru,32,,-1,0.0001,25,all,0,17056,0.6104825341487619,0.7100458878924538,0.5822390346509965,0.5421531984456358,0.5461629254489092,0.30294803272768983,0.0,0.7891739767399925,250,0.38744358098793685,0.570280134677887,1,3492,17.97924566268921,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,ae,linear,32,,-1,0.0001,25,all,0,9632,0.5898736264207625,0.6826640114572826,0.7175872299789012,0.5766528614087594,0.6620966347778408,0.3786680807374702,0.0,0.7683828028074143,335,0.5251697998276281,0.5640244483947754,1,3492,31.343344926834106,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,ae,mlp,32,,-1,0.0001,25,all,0,59168,0.6058350834685623,0.7008841501779826,0.7309764016061994,0.5667022236787723,0.6837632236717628,0.3786680807374702,0.0,0.7818220437628818,204,0.24276766795473,0.7331483364105225,1,3492,15.03122091293335,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,ae,cnn,32,,-1,0.0001,25,all,0,63488,0.5994514476462522,0.7066903656591769,0.7475763471221076,0.557396171900976,0.6455413934493501,0.3786680807374702,0.0,0.7856634716841705,207,0.32486159541352916,0.750067412853241,1,3492,16.15997886657715,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,ae,gru,32,,-1,0.0001,25,all,0,17056,0.6181053609048719,0.704851814485815,0.721122805880653,0.5642176371713631,0.6812268568832016,0.3786680807374702,0.0,0.784718410893698,204,0.28282476915526633,0.7747147083282471,1,3492,17.09003734588623,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,podlse,pod,closed-form,64,,300,0.0001,25,all,0,19200,0.5539925359781085,0.6655773913931694,0.552794581995087,0.584688590904424,0.6327855972782145,0.24976323954482957,0.0,0.7568901087210628,0,nan,nan,0,4365,10.186185121536255,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,epod,pod,closed-form,64,,300,0.0001,25,all,0,9444600,0.5394635875900408,0.6792370765741997,nan,0.5752989416721459,0.644870744146994,0.24976323954482957,0.0,0.7666791566417435,0,nan,nan,0,4365,8.436333417892456,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,pod,linear,64,,-1,0.0001,25,all,0,19264,0.5921665976838829,0.6794729416711501,0.5712677024345035,0.5714755930288604,0.5954547506037967,0.24976323954482957,0.0,0.7675118826554748,558,0.47424818396158647,0.5232243537902832,1,3492,19.915343523025513,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,pod,mlp,64,,-1,0.0001,25,all,0,63296,0.5635214094621248,0.7058373174612459,0.6063172168140982,0.5474123463005003,0.5961184183314061,0.24976323954482957,0.0,0.7866044508352251,232,0.3364067514600896,0.574988067150116,1,3492,14.982712984085083,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,pod,cnn,64,,-1,0.0001,25,all,0,114720,0.5966597592602797,0.7063558249521038,0.6070065346990139,0.546416023166854,0.5729411499324439,0.24976323954482957,0.0,0.787200280647359,209,0.2885000019890063,0.5950701832771301,1,3492,15.32231593132019,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,pod,gru,64,,-1,0.0001,25,all,0,19136,0.6130989224385596,0.7138993716856604,0.6170351297932419,0.539327175620044,0.5417678580741868,0.24976323954482957,0.0,0.7921270846377796,248,0.4320433195104304,0.6067192554473877,1,3492,17.943334341049194,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,ae,linear,64,,-1,0.0001,25,all,0,19264,0.5911167585983836,0.6878283061405854,0.7524883492577632,0.5755549484082223,0.6848352060328569,0.36351751275579663,0.0,0.7722186874666328,313,0.5705493760955566,0.6109265685081482,1,3492,33.5001003742218,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,ae,mlp,64,,-1,0.0001,25,all,0,63296,0.5987714718332522,0.7110794318651471,0.7641506348445791,0.5624582693224496,0.7023014628410817,0.36351751275579663,0.0,0.7894033716544392,205,0.2751702847554512,0.7897011637687683,1,3492,14.91668176651001,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,ae,cnn,64,,-1,0.0001,25,all,0,114720,0.6146734636139589,0.7078222854139229,0.7655205205468221,0.5646119309816551,0.7006331276565035,0.36351751275579663,0.0,0.7868045286312381,204,0.360437199285623,0.7881314158439636,1,3492,15.879138946533203,4365,1521,4p5d_10ms_yaw_0_0_0,band40
A,branched,ae,gru,64,,-1,0.0001,25,all,0,19136,0.6200019833222744,0.706662274675417,0.753588116419126,0.5649350853064333,0.6843688901686478,0.36351751275579663,0.0,0.7862970100528566,204,0.34023519193183926,0.8242687582969666,1,3492,16.937816619873047,4365,1521,4p5d_10ms_yaw_0_0_0,band40
