dataset,model,backend,n_latent,hidden,seed,train_mse,train_rel_error,test_mse,test_rel_error,gen_gap,fit_time_s,n_params,n_epochs_run,best_epoch,n_x,gap,n_train,n_val,n_test,test_nn_dist_median,test_nn_dist_min,test_mean_shift,val_nn_dist_median,val_nn_dist_min,val_mean_shift,span_ceiling
bl,AE,torch,32,256-64,0,0.00016633106861263514,0.09449321895169803,0.00031913540442474186,0.1820669407525631,1.9267725533366582,209.9576768875122,7155411.0,328.0,248.0,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,AEJax,jax,32,256-64,0,0.0001631002378417179,0.09265777352362137,0.00031840312294662,0.18164917372752326,1.9604310228889237,187.83878707885742,7155411.0,343.0,263.0,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,CAE,torch,32,256-64,0,0.0005900529795326293,0.3352110093029433,0.0006555851432494819,0.3740117197257299,1.1157501076813408,80.19990682601929,379939.0,267.0,187.0,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,CAEJax,jax,32,256-64,0,0.0005838656215928495,0.33169595121179524,0.0006540472968481481,0.37313437742601585,1.1249289479200222,547.0350751876831,379939.0,315.0,235.0,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,POD,numpy,64,512-128,0,0.0006494340486824512,0.3689958834698179,0.0007283954764716327,0.4155426348197323,1.1261443648428173,0.1934959888458252,888000.0,nan,nan,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,AE,torch,64,512-128,0,3.213538002455607e-05,0.01825621350289173,0.00012305016571190208,0.07020019377243707,3.845276774470104,625.9210178852081,14370675.0,600.0,599.0,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,AEJax,jax,64,512-128,0,2.853910882549826e-05,0.01621316018364887,0.00012128159869462252,0.06919122522213662,4.267596473383187,617.3064317703247,14370675.0,600.0,596.0,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,CAE,torch,64,512-128,0,0.0004055658355355263,0.23040326510398948,0.0004723579913843423,0.2694805190492532,1.169603733382974,90.29576802253723,707651.0,281.0,201.0,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,CAEJax,jax,64,512-128,0,0.00041122626862488687,0.23361897548050392,0.00047821743646636605,0.27282333600343817,1.1678132542200363,484.5272681713104,707651.0,274.0,194.0,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,POD,numpy,128,1024-256,0,0.0003488902293611318,0.19823268995255092,0.0004360232560429722,0.24874708659154024,1.2548237460283693,0.2723519802093506,1776000.0,nan,nan,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,AE,torch,128,1024-256,0,6.8371364250197075e-06,0.003884199353739616,5.824329491588287e-05,0.033227834886570135,8.554616244034735,1137.9088129997253,29022387.0,600.0,595.0,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,AEJax,jax,128,1024-256,0,6.26098290013033e-06,0.003556884669650411,5.732373028877191e-05,0.03270322271204769,9.194344419174527,1213.8464708328247,29022387.0,600.0,596.0,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,CAE,torch,128,1024-256,0,0.0002243740309495479,0.1274676139006067,0.00027913704980164766,0.15924785530985028,1.2493201248281334,138.22344303131104,1363075.0,373.0,293.0,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,CAEJax,jax,128,1024-256,0,0.00023135283845476806,0.1314322970539886,0.0002849434386007488,0.1625604036226201,1.2368375754388965,553.9681868553162,1363075.0,257.0,177.0,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,POD,numpy,256,2048-512,0,9.993448475142941e-05,0.05678084412846273,0.00015448428166564554,0.08813180135678131,1.5521396821327489,0.39859890937805176,3552000.0,nan,nan,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,AE,torch,256,2048-512,0,2.4417693111900007e-06,0.001387177056435303,4.927513873553835e-05,0.02811149637536755,20.265254709162395,2317.6364181041718,59210547.0,600.0,597.0,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,AEJax,jax,256,2048-512,0,2.3248705929290736e-06,0.0013207665158673965,4.780152448802255e-05,0.02727079855815667,20.64770588179768,9157.899029970169,59210547.0,600.0,599.0,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,CAE,torch,256,2048-512,0,9.756427607499063e-05,0.05542658132310995,0.00013179857342038304,0.07519116564787146,1.356590355258312,150.56804203987122,2673923.0,300.0,220.0,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
bl,CAEJax,jax,256,2048-512,0,9.729696466820315e-05,0.055274720846888996,0.00013106747064739466,0.07477407107482135,1.3527715731382084,708.4465839862823,2673923.0,286.0,206.0,13875,1,1798,600,600,0.13796547055244446,0.07076919078826904,0.0024234812141728443,0.13578835129737854,0.06923478096723557,0.0022066322826388585,0.00267815706320107
