latent,branch,label,nmse_train,nmse_test,epochs_run,best_epoch,stopped_early,train_loss,val_loss,n_params,seconds,track
pod,linear,pod+linear,0.7032092219861509,0.7642431577006433,663,492,1,0.4048606852690379,0.4302077889442444,4816,99.09348201751709,"{'train': [(0, 0.9757637259930926), (5, 0.9036091504258111), (10, 0.870222092384243), (15, 0.8469768459757112), (20, 0.8281925281758481), (25, 0.8125706911744515), (30, 0.7994427197530906), (35, 0.7881599821683903), (40, 0.7786482495499153), (45, 0.7706955137487013), (50, 0.7637974962730869), (55, 0.7580481777679465), (60, 0.7529234455992044), (65, 0.7486731818575142), (70, 0.7449759502660231), (75, 0.7417228519932136), (80, 0.7388622607785675), (85, 0.7363668701646446), (90, 0.7340244927453788), (95, 0.7319831858874201), (100, 0.7302346541084874), (105, 0.7285448692300271), (110, 0.7270324398049862), (115, 0.7257354463067084), (120, 0.7243387198532188), (125, 0.7231764296063921), (130, 0.7222693878134282), (135, 0.7212079120896023), (140, 0.720299431885516), (145, 0.7193337456296598), (150, 0.7185243114595309), (155, 0.7178157895332102), (160, 0.7171535842187632), (165, 0.7165287198804137), (170, 0.7158388353038815), (175, 0.715302105853622), (180, 0.7149270387750621), (185, 0.714299062350586), (190, 0.7138169388549466), (195, 0.7133410418291228), (200, 0.7129288735142021), (205, 0.712541044997326), (210, 0.7121537253755236), (215, 0.7117304655334343), (220, 0.7114521600495821), (225, 0.7111998696975269), (230, 0.710817074297638), (235, 0.7105419323149336), (240, 0.7101927089066296), (245, 0.709920412417474), (250, 0.7097394310038545), (255, 0.7094245597332688), (260, 0.7092668223543022), (265, 0.7090649266243733), (270, 0.708903763793977), (275, 0.7086631609323011), (280, 0.708510510232054), (285, 0.7082223860166798), (290, 0.7079623895396584), (295, 0.707868103159476), (300, 0.7077445110352024), (305, 0.707572145080271), (310, 0.7073618950003018), (315, 0.7071398796241631), (320, 0.7071167957902501), (325, 0.7069058136221322), (330, 0.7068462536023318), (335, 0.706700438301915), (340, 0.7064866676180969), (345, 0.7063790273197911), (350, 0.7063621811464104), (355, 0.7060854268850384), (360, 0.7059782070688941), (365, 0.7059707806463644), (370, 0.7057433330319592), (375, 0.705619400232492), (380, 0.7056811904368528), (385, 0.705509559664391), (390, 0.7055074284618946), (395, 0.7053674041313447), (400, 0.7053391254224879), (405, 0.7052762747714202), (410, 0.7052448088669929), (415, 0.70521646452861), (420, 0.7052071806754915), (425, 0.7051846308875612), (430, 0.7051420606941733), (435, 0.705113044630515), (440, 0.705121093071769), (445, 0.7050932446544701), (450, 0.7050723575025807), (455, 0.7050704746611163), (460, 0.7050395699892761), (465, 0.7050401882026538), (470, 0.7050310556024303), (475, 0.7050173897132958), (480, 0.7050151248840655), (485, 0.7050093591691721), (490, 0.7050052444639713), (495, 0.704999827937331), (500, 0.7050001225751764), (505, 0.7049986455538557), (510, 0.705000395754166), (515, 0.7050002489109399), (520, 0.7049994403796976), (525, 0.7049993204378291), (530, 0.7049994215635775), (535, 0.7049991447488368), (540, 0.7049989641561978), (545, 0.7049990373153382), (550, 0.7049988343083305), (555, 0.7049987344830801), (560, 0.7049987050162464), (565, 0.7049986631475128), (570, 0.7049986478133039), (575, 0.7049985772419881), (580, 0.7049985749007369), (585, 0.7049985261689778), (590, 0.704998487918865), (595, 0.7049984269755568), (600, 0.7049984376276958), (605, 0.7049983936275979), (610, 0.704998338749134), (615, 0.7049983306459373), (620, 0.704998287938122), (625, 0.7049982708433752), (630, 0.7049982185142843), (635, 0.704998181940278), (640, 0.7049981366781075), (645, 0.704998046851099), (650, 0.7049981050697067), (655, 0.7049980689721262), (660, 0.7049980090024014)], 'test': [(0, 0.9826859170475466), (5, 0.9282441761167247), (10, 0.9046024071376113), (15, 0.8868325684963577), (20, 0.8714640439601454), (25, 0.8581974976946193), (30, 0.8467373383500354), (35, 0.8368718482085281), (40, 0.8284381182299914), (45, 0.8214951708190872), (50, 0.8152918343460732), (55, 0.8101447117184601), (60, 0.8055996703073435), (65, 0.8016594040055965), (70, 0.7983502791060728), (75, 0.7955158534727167), (80, 0.7928409084416203), (85, 0.7905998701617727), (90, 0.7886082792952791), (95, 0.7867367769098371), (100, 0.7851659998279166), (105, 0.7836358489803391), (110, 0.7823075524576822), (115, 0.7811608427264115), (120, 0.7799405929820469), (125, 0.7790096581842288), (130, 0.778005724699883), (135, 0.7772936635478935), (140, 0.7765183183922745), (145, 0.7756211311685655), (150, 0.7750084556770391), (155, 0.7743661728810205), (160, 0.7737776434587363), (165, 0.7731839462294999), (170, 0.7727354659236949), (175, 0.7721766007803897), (180, 0.7717696435470887), (185, 0.7713093262379029), (190, 0.7710198556222083), (195, 0.7704153253577108), (200, 0.7701204407547482), (205, 0.7698143564450186), (210, 0.7694552085129213), (215, 0.7692951936801368), (220, 0.7689383800143595), (225, 0.7687352730743059), (230, 0.7684665450824777), (235, 0.768125771980813), (240, 0.7678541331473998), (245, 0.7675459441567645), (250, 0.7673760954779384), (255, 0.7672037023753067), (260, 0.7671763622324745), (265, 0.7667960451161467), (270, 0.7667168894207487), (275, 0.7665266981864658), (280, 0.7663551887931362), (285, 0.7662116118782759), (290, 0.7660237286012704), (295, 0.7660251592862856), (300, 0.7658364652110424), (305, 0.7657539272701311), (310, 0.7654307343251288), (315, 0.7652860987444653), (320, 0.7652321984914073), (325, 0.7650547987650379), (330, 0.7649067481404198), (335, 0.7650046427450247), (340, 0.7648454219888012), (345, 0.7646681804507254), (350, 0.7646009938616347), (355, 0.7644238051369209), (360, 0.7643454897430204), (365, 0.7643392166354873), (370, 0.7643061608379645), (375, 0.7642424238532507), (380, 0.7640300523358706), (385, 0.7640410389882648), (390, 0.7639481278153049), (395, 0.7639618488450959), (400, 0.7639361331763326), (405, 0.763854259441957), (410, 0.7639167824793186), (415, 0.7638035530951761), (420, 0.7638583244547249), (425, 0.7638192530039429), (430, 0.763842749290085), (435, 0.7638132628200727), (440, 0.7637446056460777), (445, 0.7637554344458183), (450, 0.7637573228681226), (455, 0.76372486387685), (460, 0.7637084779046373), (465, 0.7637081695526344), (470, 0.763679120851002), (475, 0.7636759429986144), (480, 0.7636804063616222), (485, 0.7636753511125952), (490, 0.7636715612958604), (495, 0.763668207742235), (500, 0.763666546682137), (505, 0.7636654657027858), (510, 0.7636643429368891), (515, 0.7636646695682074), (520, 0.7636652629153318), (525, 0.7636652927864331), (530, 0.7636653151679579), (535, 0.7636645686046483), (540, 0.763664868659817), (545, 0.7636648196218471), (550, 0.763664680808513), (555, 0.7636646919690001), (560, 0.7636647197019116), (565, 0.7636647347006553), (570, 0.7636647058202948), (575, 0.7636647109722218), (580, 0.7636646601675646), (585, 0.7636646463719778), (590, 0.7636645185986046), (595, 0.7636645990513132), (600, 0.7636645522134418), (605, 0.7636645347263282), (610, 0.7636646027510988), (615, 0.7636645659516729), (620, 0.7636646331796757), (625, 0.7636645561939294), (630, 0.763664551961443), (635, 0.7636645801853037), (640, 0.7636646451478726), (645, 0.7636645827953382), (650, 0.7636645897242919), (655, 0.763664597658887), (660, 0.7636645808307081)]}"
pod,mlp,pod+mlp,0.6926436497029145,0.7885170616718307,227,27,1,0.26422774335285565,0.4733017385005951,57104,38.591745376586914,"{'train': [(0, 0.9578787330799352), (5, 0.8299170234895045), (10, 0.7692471779606249), (15, 0.732986176415214), (20, 0.7094704918346675), (25, 0.696713848587291), (30, 0.6851035256193152), (35, 0.6769577392459601), (40, 0.6689939707773156), (45, 0.6650561402754339), (50, 0.6613221325594006), (55, 0.6595796583089786), (60, 0.6574880586213476), (65, 0.6563117339954091), (70, 0.6554810296957901), (75, 0.6547410730553868), (80, 0.6542080709214793), (85, 0.6539414538888998), (90, 0.6536936432088027), (95, 0.6534609821425675), (100, 0.6533686449937517), (105, 0.6532438907476203), (110, 0.6531570956823393), (115, 0.6530946111995991), (120, 0.6530558984907321), (125, 0.6530217770580016), (130, 0.6530098270997535), (135, 0.6529964820193231), (140, 0.6529846251585831), (145, 0.6529785806315677), (150, 0.6529774424212262), (155, 0.6529735761811769), (160, 0.6529709231019458), (165, 0.6529693758183829), (170, 0.6529651518287811), (175, 0.6529610170564895), (180, 0.6529584516631999), (185, 0.6529554182854206), (190, 0.6529534512674114), (195, 0.6529494104119636), (200, 0.6529458479486977), (205, 0.6529437652890997), (210, 0.6529423686184748), (215, 0.652941331563204), (220, 0.6529366593074827), (225, 0.6529318140978652)], 'test': [(0, 0.9655979860732984), (5, 0.8602053579118871), (10, 0.8168756629089718), (15, 0.7966983598402952), (20, 0.7879187854193422), (25, 0.789478642836553), (30, 0.7875507434909143), (35, 0.7921679249026585), (40, 0.7943082152334611), (45, 0.7977981417797392), (50, 0.7990944660763081), (55, 0.8002646855129361), (60, 0.8024775612462505), (65, 0.8036319711768166), (70, 0.8032454932227582), (75, 0.804737221703038), (80, 0.8049818847759173), (85, 0.8053146870654565), (90, 0.805289258851863), (95, 0.8056942260653894), (100, 0.8059199901563161), (105, 0.8059848084739054), (110, 0.8059522199352249), (115, 0.8061318207106095), (120, 0.8061077936538386), (125, 0.8061214618983968), (130, 0.8061356771041883), (135, 0.8061561284998078), (140, 0.8061608600177134), (145, 0.8061919315697595), (150, 0.8061883025807809), (155, 0.8061896618257767), (160, 0.8061860380250556), (165, 0.8061909452294602), (170, 0.8061936696765439), (175, 0.8062081043717823), (180, 0.806208736259755), (185, 0.8062176341464007), (190, 0.8062273972337971), (195, 0.8062263960223542), (200, 0.8062286739178757), (205, 0.8062303455123099), (210, 0.8062418206715383), (215, 0.8062370413943194), (220, 0.8062372822773206), (225, 0.8062454761421911)]}"
pod,cnn,pod+cnn,0.7066900038543793,0.7812980977005914,209,9,1,0.2363778548734682,0.4530330002307892,37872,40.19077444076538,"{'train': [(0, 0.8196968598932223), (5, 0.7247304743138365), (10, 0.7021187984726124), (15, 0.6865419634261806), (20, 0.6712065895657829), (25, 0.6649752577045686), (30, 0.6589734583792263), (35, 0.6555004364411502), (40, 0.6523666774656464), (45, 0.6505607283670297), (50, 0.6492452518174542), (55, 0.6480967341478403), (60, 0.6474597540431103), (65, 0.6465789094681095), (70, 0.6461993633066039), (75, 0.645888270054707), (80, 0.6457060919409732), (85, 0.6455507775491579), (90, 0.6454248364250651), (95, 0.6453450773835704), (100, 0.6452840464405356), (105, 0.6452262751635387), (110, 0.645195554346376), (115, 0.6451771148065009), (120, 0.6451507299806174), (125, 0.645137861149356), (130, 0.6451300428602802), (135, 0.6451183755691158), (140, 0.6451147243341555), (145, 0.645111055075057), (150, 0.6451064986901692), (155, 0.645104114264397), (160, 0.6451035880299715), (165, 0.6450955183693505), (170, 0.6450861153999727), (175, 0.6450840969659736), (180, 0.6450806757682708), (185, 0.6450753777934178), (190, 0.6450709109285528), (195, 0.645064842510278), (200, 0.6450636469893708), (205, 0.645057457348391)], 'test': [(0, 0.8584860197443619), (5, 0.7920322650232794), (10, 0.7804723704907507), (15, 0.7856653968956686), (20, 0.7860741588280175), (25, 0.7905126404201015), (30, 0.7980157653208122), (35, 0.8000227779218669), (40, 0.8008116494037562), (45, 0.8036260487229241), (50, 0.8045968562503502), (55, 0.805361378626942), (60, 0.806560167531258), (65, 0.8065747653028126), (70, 0.8066835376844798), (75, 0.8069281977510679), (80, 0.8072022559080135), (85, 0.8073571841670842), (90, 0.807464643718511), (95, 0.8076034299226302), (100, 0.8075895199606499), (105, 0.8076622335507448), (110, 0.807675102749418), (115, 0.8077037637033776), (120, 0.8077022666323709), (125, 0.8077098354881764), (130, 0.8077137061844295), (135, 0.8077147759671918), (140, 0.8077316796500683), (145, 0.8077351704925242), (150, 0.807739701389546), (155, 0.8077465048873967), (160, 0.8077555608882169), (165, 0.8077553611116349), (170, 0.8077572608049557), (175, 0.8077646597416152), (180, 0.8077724187145845), (185, 0.8077724901983099), (190, 0.8077719169033436), (195, 0.8077733774925888), (200, 0.8077755388310726), (205, 0.8077792852671669)]}"
pod,gru,pod+gru,0.6983104606324606,0.7870475658770462,256,56,1,0.3264993740631653,0.4800563156604767,16016,46.50727820396423,"{'train': [(0, 0.984870655296614), (5, 0.8969966193038879), (10, 0.8460756773601189), (15, 0.8105410364231526), (20, 0.7868709898659862), (25, 0.7649427297088229), (30, 0.7501020733152114), (35, 0.736153944271515), (40, 0.7241851890728528), (45, 0.7161501119401852), (50, 0.7082743218098311), (55, 0.699979653689928), (60, 0.695766877784384), (65, 0.6903555936498623), (70, 0.6869287465610042), (75, 0.6839816764932222), (80, 0.6824811187699502), (85, 0.6826158568325026), (90, 0.6811877270191687), (95, 0.6802029004427907), (100, 0.6800556269849213), (105, 0.6798218638600252), (110, 0.6796034801746114), (115, 0.6795345181390832), (120, 0.6793450752401435), (125, 0.679332419568694), (130, 0.6793057112245218), (135, 0.6791334568100723), (140, 0.6791331775692598), (145, 0.6791845441104474), (150, 0.6791798938049153), (155, 0.6791139494714427), (160, 0.6790949500038171), (165, 0.6791201820481171), (170, 0.679112152994346), (175, 0.6791127356217623), (180, 0.6791122964556128), (185, 0.6791045254185101), (190, 0.6791005887252751), (195, 0.6790996929001846), (200, 0.679099620700676), (205, 0.6791008186646805), (210, 0.6790991495792583), (215, 0.6790982460113288), (220, 0.6790947384816446), (225, 0.6790890101062925), (230, 0.6790893727091148), (235, 0.6790922140600222), (240, 0.6790901722564193), (245, 0.6790874928892786), (250, 0.6790756060622866), (255, 0.679076132584586)], 'test': [(0, 0.9899674755610774), (5, 0.9144909830578242), (10, 0.8720483935464654), (15, 0.8464140725489868), (20, 0.8254280309983689), (25, 0.8131643786200669), (30, 0.8068453291370137), (35, 0.8005706867255006), (40, 0.7936244861149172), (45, 0.7887619626909388), (50, 0.7912679356984066), (55, 0.787402773539944), (60, 0.7909442420107488), (65, 0.7933803784614603), (70, 0.794513623927014), (75, 0.7932457150632951), (80, 0.7970947163032445), (85, 0.7988347630361627), (90, 0.7994667056736358), (95, 0.7988739249227537), (100, 0.7999624792771175), (105, 0.8006498692032186), (110, 0.8001011718272512), (115, 0.8003926397459445), (120, 0.8006205862099739), (125, 0.8005726672814064), (130, 0.8009766126165111), (135, 0.8011447330046931), (140, 0.8011289090326261), (145, 0.8012276968425941), (150, 0.8012646013219473), (155, 0.801171108043788), (160, 0.8011851613688754), (165, 0.8012259789165433), (170, 0.801244894450382), (175, 0.80126239671463), (180, 0.801265370759798), (185, 0.8012643211521265), (190, 0.8012544242348041), (195, 0.8012736195205205), (200, 0.8012909169164213), (205, 0.8012880622759369), (210, 0.8013021036217682), (215, 0.8013032275630855), (220, 0.8012952457512337), (225, 0.8012824976189283), (230, 0.8012823021507047), (235, 0.8012975138382431), (240, 0.8012983365526342), (245, 0.8012974346310977), (250, 0.801276973446562), (255, 0.8012808600549695)]}"
ae,linear,ae+linear,0.6924777703202792,0.7600086125515882,305,117,1,0.4491976529091328,0.48612868785858154,4816,47.551981925964355,"{'train': [(0, 0.8605743171410012), (5, 0.7284332013446984), (10, 0.7096297215190773), (15, 0.7135553472171036), (20, 0.7114344897997046), (25, 0.7088160207483184), (30, 0.7059774141060405), (35, 0.7054409882611319), (40, 0.7108645543496873), (45, 0.6991260263082059), (50, 0.6982957025171175), (55, 0.6994753050871606), (60, 0.699915475193831), (65, 0.6988486151834411), (70, 0.7000290348033876), (75, 0.6965027058586842), (80, 0.6952941974249027), (85, 0.6939441036486023), (90, 0.6937153931396156), (95, 0.6938618422740849), (100, 0.6947937256258374), (105, 0.6933212195768412), (110, 0.69314638225321), (115, 0.6929799203746364), (120, 0.6925694086140765), (125, 0.6925269094087544), (130, 0.6926883621073848), (135, 0.6927056852499828), (140, 0.692593093531022), (145, 0.692571850165651), (150, 0.6925265689943424), (155, 0.6925415022287535), (160, 0.6925341121424722), (165, 0.6925299007609266), (170, 0.6925160341931357), (175, 0.6925212683884125), (180, 0.6925283697970172), (185, 0.6925333538607067), (190, 0.6925400981936474), (195, 0.6925397420182475), (200, 0.6925387034755432), (205, 0.6925461850577592), (210, 0.6925466230474115), (215, 0.6925406810585951), (220, 0.6925411546280029), (225, 0.6925420106823804), (230, 0.692537235821176), (235, 0.6925368879639372), (240, 0.6925408537444223), (245, 0.6925351313775052), (250, 0.6925367450730796), (255, 0.6925321361381325), (260, 0.6925286948784226), (265, 0.6925345337130813), (270, 0.692533749216059), (275, 0.6925397982350965), (280, 0.6925350506652782), (285, 0.6925374617154781), (290, 0.6925389072756075), (295, 0.6925395039480594), (300, 0.6925374770812052)], 'test': [(0, 0.9667566992877228), (5, 0.7985545045477176), (10, 0.7751697064996482), (15, 0.7772602491290668), (20, 0.7787201349237565), (25, 0.776381422425039), (30, 0.7720761896859293), (35, 0.7731336745155309), (40, 0.7761268139318546), (45, 0.7658774926553936), (50, 0.7651958701218115), (55, 0.7673072653165747), (60, 0.7673765363531282), (65, 0.7678074528125272), (70, 0.7643904789102731), (75, 0.7648463744520674), (80, 0.7635329348860261), (85, 0.7614235205662608), (90, 0.7623779322503493), (95, 0.7623794923820135), (100, 0.7626172833864452), (105, 0.7605148981498107), (110, 0.7602962832331277), (115, 0.7604654280495564), (120, 0.7604209687481207), (125, 0.7605081056412742), (130, 0.7603374001271533), (135, 0.7604883084233315), (140, 0.7604229212459779), (145, 0.7603281580485175), (150, 0.7603949657566995), (155, 0.7603949811319227), (160, 0.7604167572532453), (165, 0.7603991491159181), (170, 0.7603906617502545), (175, 0.7603850374379914), (180, 0.7603982604195304), (185, 0.7603925707473878), (190, 0.7603990017629126), (195, 0.760396706325392), (200, 0.7603982794948309), (205, 0.7603928153038265), (210, 0.7603966315049298), (215, 0.7604022140503978), (220, 0.7603977906657086), (225, 0.760394868965747), (230, 0.7603972695680015), (235, 0.7603927874846556), (240, 0.7603949528522203), (245, 0.7603852054209186), (250, 0.7603827113296704), (255, 0.7603845394799262), (260, 0.7603785740631045), (265, 0.7603722379503167), (270, 0.7603773616029929), (275, 0.760378055098991), (280, 0.7603770587606037), (285, 0.7603765563672391), (290, 0.7603696058511639), (295, 0.7603708139402551), (300, 0.7603770485361147)]}"
ae,mlp,ae+mlp,0.7043533224498635,0.7812014490334529,204,4,1,0.19164976517896395,0.5041505694389343,57104,35.41020178794861,"{'train': [(0, 0.7504786050967756), (5, 0.6952288500325623), (10, 0.668577681637723), (15, 0.6448718457905004), (20, 0.6347133334229371), (25, 0.6286314573387973), (30, 0.62022629414122), (35, 0.6170667332178568), (40, 0.6129950145644336), (45, 0.611811975086878), (50, 0.6095860865365664), (55, 0.608870384887783), (60, 0.6080373665139228), (65, 0.6077557744305238), (70, 0.6073672317079057), (75, 0.6069570766624981), (80, 0.6067762402326532), (85, 0.6067819096971652), (90, 0.6066723478892503), (95, 0.606524803824816), (100, 0.6065252467601323), (105, 0.6064912983856316), (110, 0.6064203099522144), (115, 0.6064670314873669), (120, 0.6064550868086885), (125, 0.6064470049839579), (130, 0.6064326063053003), (135, 0.6064292981605537), (140, 0.6064222292055884), (145, 0.6064191825472851), (150, 0.6064153408239709), (155, 0.6064109174578012), (160, 0.6064058479226186), (165, 0.606400808641539), (170, 0.6063955057788565), (175, 0.606394741582512), (180, 0.6063986061305253), (185, 0.6063957771419718), (190, 0.6063897450561899), (195, 0.606387341883297), (200, 0.6063828027066184)], 'test': [(0, 0.8126277616937163), (5, 0.781410028420917), (10, 0.7950683317075921), (15, 0.8101089356526944), (20, 0.824032527934381), (25, 0.8326708216915488), (30, 0.8336967960574367), (35, 0.8387324627589097), (40, 0.8423892963387709), (45, 0.8459093164767808), (50, 0.8461018283566988), (55, 0.8469771875594689), (60, 0.8478430941057872), (65, 0.8488211470621703), (70, 0.849416642877267), (75, 0.8498913374042165), (80, 0.850010918656092), (85, 0.850341799830364), (90, 0.8505316107865805), (95, 0.8505139195874287), (100, 0.8505922555003154), (105, 0.8506303076032344), (110, 0.8507605604623298), (115, 0.8508111223512116), (120, 0.8508489367752335), (125, 0.8508502579096693), (130, 0.850863611140385), (135, 0.8508823880298717), (140, 0.8508898716881732), (145, 0.8508906904973007), (150, 0.8509148314484151), (155, 0.8509207871208605), (160, 0.8509415459954557), (165, 0.8509559171838883), (170, 0.8509505837965421), (175, 0.850970711899635), (180, 0.8509939694729616), (185, 0.8509984816087457), (190, 0.851024243036831), (195, 0.8509955023559136), (200, 0.851009609887201)]}"
ae,cnn,ae+cnn,0.7013070493381017,0.768949872420367,206,6,1,0.2837633289195396,0.5014681816101074,37872,36.98674011230469,"{'train': [(0, 0.7333214189692349), (5, 0.7032335149242958), (10, 0.687397964670041), (15, 0.6770915242047275), (20, 0.6560091819704539), (25, 0.6500126228643758), (30, 0.6465023237991718), (35, 0.6429682066303946), (40, 0.6388074133563622), (45, 0.639318606424621), (50, 0.6355806747452986), (55, 0.635068113156384), (60, 0.6355159691185203), (65, 0.6345636712132308), (70, 0.6345266569905003), (75, 0.6338038590867157), (80, 0.633474962057672), (85, 0.6335132491298484), (90, 0.6334367347284894), (95, 0.6332869652893858), (100, 0.6333311595750472), (105, 0.6332232120452689), (110, 0.6332451199711785), (115, 0.6332093004985077), (120, 0.6332177950419239), (125, 0.6331851657016752), (130, 0.6331787264888996), (135, 0.6331823263633862), (140, 0.6331700376909953), (145, 0.6331728602422729), (150, 0.6331646932639875), (155, 0.6331879582552391), (160, 0.6331917942762519), (165, 0.633181937731091), (170, 0.6331681830539243), (175, 0.6331539213231173), (180, 0.6331542857247536), (185, 0.6331599751100334), (190, 0.6331561350279612), (195, 0.6331498765845028), (200, 0.6331406654617089), (205, 0.6331417248131146)], 'test': [(0, 0.7944369963012293), (5, 0.7684852880333363), (10, 0.7846577499298285), (15, 0.8082437556295657), (20, 0.8091238326758411), (25, 0.8147331802966424), (30, 0.8273652143936722), (35, 0.8301177970842902), (40, 0.8346997239179751), (45, 0.8402364423197025), (50, 0.8393235700829688), (55, 0.8416237107800149), (60, 0.8443333930691282), (65, 0.8453110474421708), (70, 0.847031566095233), (75, 0.8464856856427324), (80, 0.8467341977703237), (85, 0.8472715528085785), (90, 0.8474612625785376), (95, 0.8476133317626778), (100, 0.8476018180947144), (105, 0.847627106591803), (110, 0.8475722953825888), (115, 0.8477034451405865), (120, 0.8477341992932987), (125, 0.8477279012171803), (130, 0.847704502479045), (135, 0.8477558340497745), (140, 0.847786424516648), (145, 0.8478152059225368), (150, 0.8478219368778981), (155, 0.8478499577691913), (160, 0.8478649966357095), (165, 0.847880143919408), (170, 0.8479172976802903), (175, 0.847929172638006), (180, 0.847944207569853), (185, 0.8479334940067286), (190, 0.8479373786394098), (195, 0.8479482939281409), (200, 0.847927649670862), (205, 0.8479391284286355)]}"
ae,gru,ae+gru,0.7148702166072619,0.7803467296569027,203,3,1,0.24684000740180145,0.5007120966911316,16016,37.6308012008667,"{'train': [(0, 0.7516176505483859), (5, 0.7076968982846097), (10, 0.6829157826395129), (15, 0.6653406389520884), (20, 0.6544920388108147), (25, 0.6425969354671336), (30, 0.6387655158932858), (35, 0.634265935091114), (40, 0.6318613906497605), (45, 0.6302170298907563), (50, 0.6290132782338529), (55, 0.6283917880486881), (60, 0.6277335969476615), (65, 0.6270653024196445), (70, 0.6268722722009009), (75, 0.6266300811452862), (80, 0.6264776003035756), (85, 0.6264367229713019), (90, 0.6263904358313012), (95, 0.6263181757445107), (100, 0.626154391452793), (105, 0.6262201990043258), (110, 0.6261861770445439), (115, 0.6261500938928324), (120, 0.6261228005707562), (125, 0.6261056616952173), (130, 0.6261127040854053), (135, 0.6261070231760866), (140, 0.6261013859402694), (145, 0.6260950513984609), (150, 0.6260976883444642), (155, 0.6261046466166971), (160, 0.6260924119362239), (165, 0.6261050113287515), (170, 0.626102362240992), (175, 0.626099034194637), (180, 0.6260959382658831), (185, 0.6260876507648708), (190, 0.6260799723761477), (195, 0.6260757012025503), (200, 0.6260640367412654)], 'test': [(0, 0.8081788527905582), (5, 0.7883027720789074), (10, 0.7998183666672455), (15, 0.8257748323444698), (20, 0.8404372132570177), (25, 0.8508303981579586), (30, 0.8589159621003462), (35, 0.864437373750161), (40, 0.8683989308798201), (45, 0.8722516412012589), (50, 0.8732035604709385), (55, 0.8744821421378548), (60, 0.8757413840056731), (65, 0.8763199349609387), (70, 0.8771160133666387), (75, 0.87736058903466), (80, 0.8777864323589056), (85, 0.8777788508896406), (90, 0.8782680298623475), (95, 0.8783033346560507), (100, 0.8781790893072011), (105, 0.8783578290046085), (110, 0.8783420763205649), (115, 0.8783539320436031), (120, 0.8783539407389663), (125, 0.8783513856868262), (130, 0.8783986993833375), (135, 0.8784160056243956), (140, 0.8784291200869846), (145, 0.8784246537003545), (150, 0.8784470211615517), (155, 0.8784659723863242), (160, 0.8784500782879598), (165, 0.8784841945903252), (170, 0.878504637135966), (175, 0.878494606998912), (180, 0.8785175049980989), (185, 0.878525742947046), (190, 0.8785238808979501), (195, 0.8785399124261453), (200, 0.8785281850059788)]}"
