dataset,model,backend,n_latent,hidden,seed,train_mse,train_rel_error,test_mse,test_rel_error,gen_gap,fit_time_s,n_params,n_epochs_run,best_epoch,n_x,gap,n_train,n_val,n_test,test_nn_dist_median,test_nn_dist_min,test_mean_shift,val_nn_dist_median,val_nn_dist_min,val_mean_shift,span_ceiling
bl,AEJax,jax,8,64-16,0,0.000838123494759202,0.4761406726922664,0.0009711214806884527,0.5540253905916628,1.1635750154655111,32.833056926727295,1792347.0,293.0,290.0,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,CAEJax,jax,8,64-16,0,0.0008680765749886632,0.4931571146114356,0.0009346145088784397,0.5331981411500968,1.0811932452200552,38.00872492790222,134155.0,300.0,235.0,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,AEJax,jax,16,128-32,0,0.00047273802920244634,0.26856400594800023,0.0006431175861507654,0.3668989708794749,1.3661509463428037,38.775476694107056,3575427.0,329.0,250.0,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,CAEJax,jax,16,128-32,0,0.0007446192903444171,0.4230206312329799,0.0008171542431227863,0.4661869886749787,1.1020431493286313,36.60591149330139,216083.0,288.0,208.0,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,AEJax,jax,32,256-64,0,0.0001676822721492499,0.095260842058425,0.0003184481174685061,0.1816748431294036,1.907130350768677,36.80128073692322,7155411.0,279.0,206.0,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,CAEJax,jax,32,256-64,0,0.0005900105461478233,0.335186902759561,0.0006563629722222686,0.37445547162395393,1.117154246007522,32.98664689064026,379939.0,249.0,169.0,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,AEJax,jax,64,512-128,0,2.961800964840222e-05,0.0168260872365211,0.0001209431211464107,0.06899812357668479,4.100663606861852,67.96920371055603,14370675.0,600.0,599.0,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,CAEJax,jax,64,512-128,0,0.0004123257240280509,0.2342435796570138,0.0004771390522364527,0.27220811714970417,1.1620729052564818,35.12750864028931,707651.0,259.0,179.0,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,AEJax,jax,128,1024-256,0,6.749874046363402e-06,0.0038346253137157434,6.160713382996619e-05,0.03514690701639395,9.16566916999165,108.93836188316345,29022387.0,600.0,600.0,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,CAEJax,jax,128,1024-256,0,0.00022960045316722244,0.13043676129482495,0.00028428519726730883,0.16218487654478825,1.2433985245785375,38.517040491104126,1363075.0,274.0,206.0,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,AEJax,jax,256,2048-512,0,2.3575191789859673e-06,0.0013393142833799238,4.730719592771493e-05,0.026988783816282263,20.15119539244572,196.27469992637634,59210547.0,600.0,598.0,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
bl,CAEJax,jax,256,2048-512,0,9.7466487204656e-05,0.055371027149060316,0.00013121955271344632,0.07486083398525202,1.3519856473625569,39.09908652305603,2673923.0,274.0,199.0,13875,1,1798,600,600,0.13795457780361176,0.07077058404684067,0.0024234812141728443,0.13578742742538452,0.06923801451921463,0.0022066322826388585,0.0026781538035720587
