tag,runs,test_run,model,latent,branch,r_field,r_sensor,n_delays,ridge,n_params,nmse_train,nmse_test,nmse_latent,cos_test,energy_test,floor_test,fit_seconds,seed,n_train,n_test
pls,4p5d_10ms_yaw_0_0_0,,podlse,pod,closed-form,64,12,1,0.001,768,0.8412014822329997,0.8849379715304276,0.8073666748848349,0.347223039202218,0.3868795950146775,0.3965523485588932,2.9712836742401123,0,4365,1521
pls,4p5d_10ms_yaw_0_0_0,,epod,pod,closed-form,-1,12,1,0.001,377784,0.8399617273216378,0.8857104772538729,nan,0.3463924560110325,0.38844568086296644,0.3965523485588932,0.9814903736114502,0,4365,1521
pls,4p5d_10ms_yaw_0_0_0,,podlse,pod,closed-form,64,60,5,0.0001,3840,0.7128429203457706,0.7740307339275297,0.6240221957838743,0.4802486138520694,0.5013852845744867,0.3965523485588932,3.131683349609375,0,4365,1521
pls,4p5d_10ms_yaw_0_0_0,,epod,pod,closed-form,-1,60,5,0.0001,1888920,0.7078091642011292,0.7778461655460838,nan,0.47673534031409404,0.5062188562028581,0.3965523485588932,1.115769863128662,0,4365,1521
pls,4p5d_10ms_yaw_0_0_0,,podlse,pod,closed-form,64,120,10,0.001,7680,0.6909722659000747,0.7564265116518671,0.5949200647339117,0.49826792876172515,0.5130643394328758,0.3965523485588932,2.928802490234375,0,4365,1521
pls,4p5d_10ms_yaw_0_0_0,,epod,pod,closed-form,-1,120,10,0.001,3777840,0.6827351849266359,0.7625231239704353,nan,0.49271478464685875,0.520186198425108,0.3965523485588932,1.132417917251587,0,4365,1521
pls,4p5d_10ms_yaw_0_0_0,,podlse,pod,closed-form,64,300,25,0.1,19200,0.696640568732338,0.7630271226558207,0.605831756454167,0.49119554121412357,0.4901278043375924,0.3965523485588932,3.3003504276275635,0,4365,1521
pls,4p5d_10ms_yaw_0_0_0,,epod,pod,closed-form,-1,300,25,0.1,9444600,0.6866746257484485,0.7681503332164105,nan,0.486082662029482,0.49630598383830027,0.3965523485588932,1.6672594547271729,0,4365,1521
pls,4p5d_10ms_yaw_0_0_0,,podlse,pod,closed-form,64,600,50,0.1,38400,0.6846902096935773,0.7653076200461324,0.6096017232764843,0.48859040833304634,0.5008710941654945,0.3965523485588932,3.5618643760681152,0,4365,1521
pls,4p5d_10ms_yaw_0_0_0,,epod,pod,closed-form,-1,600,50,0.1,18889200,0.6663088274984544,0.7751258027187268,nan,0.47943438198306704,0.5117758335242328,0.3965523485588932,2.066648244857788,0,4365,1521
pls,4p5d_10ms_yaw_0_0_0,,podlse,pod,closed-form,64,1200,100,1.0,76800,0.7074801267528198,0.7843083148287469,0.6410124099257009,0.470132364807809,0.4342964490746638,0.3965523485588932,4.5868916511535645,0,4365,1521
pls,4p5d_10ms_yaw_0_0_0,,epod,pod,closed-form,-1,1200,100,1.0,37778400,0.6913061402012279,0.7894737813081621,nan,0.4638215306082943,0.4409917832089933,0.3965523485588932,3.454742670059204,0,4365,1521
